taxi|タクシー|タクシー, 送迎, 空港送迎, ハイヤー
ride_hailing|配車サービス|配車アプリ, ウーバー, ライドシェア, 相乗り
chauffeur|運転代行・専属ドライバー|運転代行, 専属運転手, リムジン, お抱え運転手
driving_school|自動車教習所|自動車教習所, 運転免許, 教習, 指導員
translation|翻訳|翻訳, 翻訳者, 文書翻訳, 契約書翻訳
interpreting|通訳|通訳, 同時通訳, 会議通訳, アテンド通訳
sworn_translation|公認翻訳|公証翻訳, 認証翻訳, 証明書翻訳, 公文書翻訳
language_school|語学学校|語学教室, 英会話, 語学講師, 外国語スクール
removals|引っ越し|引越し, 引越し業者, トラック, 段ボール
international_removals|海外引っ越し|海外引越し, 国際引越, コンテナ, 通関
courier|宅配・配送|宅配, 配達, 荷物, バイク便
freight_forwarding|フォワーディング|フォワーダー, 物流, 貨物輸送, パレット
refrigerated_transport|冷蔵輸送|冷蔵輸送, 冷凍輸送, 保冷車, コールドチェーン
haulage|貨物運送|トラック運送, 大型トラック, 貨物運送, トレーラー
storage_warehousing|保管・倉庫|倉庫, 保管, トランクルーム, 棚
customs_brokerage|通関業務|通関業者, 税関, 輸入, 輸出
excavation|掘削・土工事|掘削, ユンボ, 土木工事, 溝掘り
crane_hire|クレーン貸出|クレーン, ユニック, 吊り上げ, クレーン車
scaffolding|足場工事|足場, 足場組立, 仮設足場, 作業台
demolition|解体工事|解体, 取り壊し, 産業廃棄物, はつり
concrete_works|コンクリート工事|コンクリート, 生コン, 基礎工事, 土間打ち
surveying|測量|測量, 土地家屋調査士, 地形測量, 境界確定
tool_hire|工具レンタル|工具レンタル, 工具, ドリル, グラインダー
machinery_rental|建設機械レンタル|重機レンタル, 建設機械, フォークリフト, 機械貸出
generator_hire|発電機レンタル|発電機, 非常用電源, 発電機レンタル, ケーブル
electrical_installation|電気工事|電気工事, 電気工事士, 分電盤, コンセント
plumbing|配管・水道工事|水道工事, 配管, 水漏れ, 給湯器
