taxi|Такси|такси, курс, превоз, летище
ride_hailing|Превоз през приложение|убер, болт, споделено пътуване, приложение
chauffeur|Услуги с шофьор|личен шофьор, лимузина, шофьор
driving_school|Автошкола|автошкола, шофьорски курс, книжка, инструктор
translation|Преводи|преводач, документи, превод, договор
interpreting|Устен превод|устен превод, симултанен превод, конференция, среща
sworn_translation|Заклети преводи|заклет преводач, легализиран превод, печат, документ
language_school|Езикова школа|езикови курсове, английски език, преподавател, езикова школа
removals|Преместване|хамалски услуги, преместване, бус, кашони
international_removals|Международно преместване|международно преместване, релокация, контейнер, митница
courier|Куриерски услуги|куриер, доставка, пратка, куриерска фирма
freight_forwarding|Спедиция|спедиция, логистика, превоз на товари, палет
refrigerated_transport|Хладилен транспорт|хладилен транспорт, замразени стоки, хладилен камион, хладилна верига
haulage|Товарен транспорт|товарен транспорт, камион, тир, ремарке
storage_warehousing|Складиране|склад, складиране, съхранение, стелажи
customs_brokerage|Митническо посредничество|митническо представителство, мито, внос, износ
excavation|Изкопни и земни работи|изкопни работи, багер, изкоп, траншея
crane_hire|Наем на кранове|кран, наем на кран, повдигане, автокран
scaffolding|Скелета|скеле, монтаж на скеле, наем на скеле, платформа
demolition|Събаряне|разрушаване, събаряне, строителни отпадъци, къртене
concrete_works|Бетонови работи|бетон, бетониране, основи, замазка
surveying|Геодезия|геодезист, заснемане, кадастър, границите на имота
tool_hire|Наем на инструменти|наем на инструменти, инструменти, бормашина, ъглошлайф
machinery_rental|Наем на машини|наем на машини, машини, мотокар, строителна техника
generator_hire|Наем на генератори|агрегат, генератор, резервно захранване, кабел
electrical_installation|Електроинсталации|електротехник, електроинсталация, табло, контакт
plumbing|ВиК услуги|водопроводчик, тръби, баня, теч
heating_hvac|Отопление и вентилация|отопление, котел, радиатори, подово отопление
air_conditioning|Климатизация|климатик, охлаждане, климатизация, сплит система
painting_decorating|Бояджийски услуги|бояджия, боядисване, тапети, шпакловка
carpentry|Дърводелство|дърводелец, столар, мебели, дърво
flooring|Подови настилки|подови настилки, паркет, ламинат, циклене
roofing|Покривни работи|покривчия, покрив, улуци, ламарина
locksmith|Ключарски услуги|ключар, брави, ключове, отваряне на врата
cleaning_services|Почистване|почистване, чистачка, офис почистване, основно почистване
gardening_landscaping|Градинарство и озеленяване|градинар, косене на трева, жив плет, озеленяване
renovation|Ремонти|ремонт, реновиране, строителна фирма, преустройство
car_repair|Автосервиз|автосервиз, автомонтьор, сервиз, ремонт на кола
mobile_mechanic|Мобилен автомонтьор|мобилен монтьор, пътна помощ, запалване, повреда
tyre_service|Смяна на гуми|гуми, смяна на гуми, вулканизатор, баланс
bodywork_paint|Тенекеджийство и боядисване|автобояджия, тенекеджия, вдлъбнатини, купе
towing_recovery|Пътна помощ|пътна помощ, репатрак, теглене на кола, лебедка
childcare|Грижа за деца|детегледачка, детска градина, бавачка, ясли
elderly_care|Грижа за възрастни|грижа за възрастни, старчески дом, домашни грижи, пенсионери
home_nursing|Домашни здравни грижи|домашни здравни грижи, медицинска сестра, грижа вкъщи, превръзки
