taxi|出租车|出租车, 打车, 接送, 机场接送
ride_hailing|网约车|滴滴, 网约车, 顺风车, 打车软件
chauffeur|代驾与专属司机|代驾, 专车司机, 豪华轿车, 私人司机
driving_school|驾校|学车, 驾照, 教练, 驾驶培训
translation|笔译|翻译, 笔译, 文件翻译, 合同翻译
interpreting|口译|口译, 同声传译, 会议翻译, 陪同翻译
sworn_translation|宣誓翻译|公证翻译, 认证翻译, 盖章翻译, 证件翻译
language_school|语言学校|语言培训, 英语课, 外语班, 语言老师
removals|搬家服务|搬家, 搬家公司, 货车, 纸箱
international_removals|国际搬家|国际搬家, 海外搬迁, 集装箱, 海运搬家
courier|快递配送|快递, 送货, 包裹, 跑腿
freight_forwarding|货运代理|货运代理, 物流, 货运, 托盘
refrigerated_transport|冷藏运输|冷链运输, 冷藏车, 冷冻运输, 保鲜运输
haulage|货物运输|货车运输, 卡车, 大货车, 挂车
storage_warehousing|仓储服务|仓库, 仓储, 存放, 货架
customs_brokerage|报关服务|报关, 清关, 进口, 出口
excavation|挖掘与土方工程|挖土, 挖掘机, 土方工程, 开沟
crane_hire|吊车租赁|吊车, 起重机, 吊装, 汽车吊
scaffolding|脚手架|脚手架, 搭架子, 架子工, 作业平台
demolition|拆除工程|拆除, 拆迁, 建筑垃圾, 破碎锤
concrete_works|混凝土工程|混凝土, 浇筑, 打地基, 找平
surveying|测绘|测绘, 土地测量, 地形测量, 界线测量
tool_hire|工具租赁|工具租赁, 工具, 电钻, 角磨机
machinery_rental|机械租赁|机械租赁, 设备租赁, 叉车, 工程机械
generator_hire|发电机租赁|发电机, 柴油发电机, 备用电源, 电缆
electrical_installation|电气安装|电工, 电路安装, 配电箱, 插座
plumbing|水管工程|水管工, 管道, 卫生间, 漏水
heating_hvac|供暖与通风|供暖, 锅炉, 暖气片, 地暖
air_conditioning|空调安装|空调, 制冷, 空调安装, 分体机
painting_decorating|油漆与装饰|油漆工, 刷墙, 墙纸, 腻子
carpentry|木工|木工, 木匠, 家具, 木材
flooring|地板铺设|地板, 木地板, 强化地板, 地砖
roofing|屋顶工程|屋顶, 房顶, 排水沟, 铁皮屋顶
locksmith|开锁修锁|开锁, 锁匠, 换锁, 配钥匙
cleaning_services|保洁服务|保洁, 清洁, 办公室保洁, 大扫除
gardening_landscaping|园艺与景观|园艺, 割草, 绿篱, 园林绿化
renovation|翻新装修|装修, 翻新, 建筑公司, 改造
car_repair|汽车维修|汽车维修, 修车, 汽修, 保养
mobile_mechanic|上门修车|上门修车, 道路救援, 搭电, 抛锚
tyre_service|轮胎服务|轮胎, 换胎, 补胎, 动平衡
bodywork_paint|钣金喷漆|钣金喷漆, 补漆, 凹陷修复, 车身
towing_recovery|拖车救援|拖车, 拖车服务, 道路救援, 绞盘
childcare|托儿服务|托儿, 幼儿园, 保姆, 育儿嫂
elderly_care|养老照护|养老护理, 养老院, 居家养老, 老人照顾
home_nursing|居家护理|上门护理, 护士, 居家护理, 换药
private_tutoring|家教辅导|家教, 补习, 一对一辅导, 考前辅导
music_lessons|音乐课程|钢琴, 吉他, 声乐, 音乐课
sports_coaching|体育教练|教练, 足球, 网球, 体能训练
it_training|信息技术培训|电脑培训, 办公软件, 编程培训, 计算机课
vocational_training|职业培训|职业培训, 技能培训, 资格证, 学徒
holiday_lettings|度假房出租|度假屋, 短租, 民宿, 公寓出租
guesthouse_bnb|旅馆与民宿|民宿, 客栈, 家庭旅馆, 客房
property_management|物业管理|物业管理, 楼宇管理, 出租管理, 业委会
veterinary|兽医|兽医, 宠物医院, 疫苗, 看狗
dog_walking|遛狗服务|遛狗, 遛狗服务, 遛狗员
pet_grooming|宠物美容|宠物美容, 狗狗剪毛, 洗澡美容, 宠物店美容
general_practice|全科门诊|全科医生, 诊所, 门诊, 开药
dentistry|牙科|牙医, 口腔科, 补牙, 种植牙
physiotherapy|物理治疗|理疗, 康复训练, 物理治疗, 推拿
psychology|心理咨询|心理咨询, 心理医生, 心理治疗, 咨询师
pharmacy|药房|药店, 药房, 药品, 保健品
optometry|验光配镜|眼镜店, 验光, 配镜, 隐形眼镜
medical_laboratory|医学检验|化验, 抽血, 检验科, 体检
software_development|软件开发|软件开发, 程序员, 编程, 代码
web_development|网站开发|网站建设, 网页设计, 做网站, 网店
it_support|信息技术支持|电脑维修, 网络维护, 系统运维, 技术支持
cybersecurity|网络安全|网络安全, 渗透测试, 防火墙, 信息安全
