taxi|แท็กซี่|แท็กซี่, รถรับส่ง, ส่งสนามบิน, เรียกรถ
ride_hailing|เรียกรถผ่านแอป|แกร็บ, เรียกรถผ่านแอป, รถร่วม, แอปเรียกรถ
chauffeur|บริการคนขับรถ|คนขับรถส่วนตัว, รถลีมูซีน, บริการคนขับ, โชเฟอร์
driving_school|โรงเรียนสอนขับรถ|โรงเรียนสอนขับรถ, เรียนขับรถ, ใบขับขี่, ครูสอนขับรถ
translation|งานแปลเอกสาร|แปลเอกสาร, นักแปล, งานแปล, แปลสัญญา
interpreting|ล่าม|ล่าม, ล่ามพร้อม, ล่ามประชุม, แปลปากเปล่า
sworn_translation|แปลรับรอง|แปลรับรอง, เอกสารรับรอง, ตรารับรอง, แปลกงสุล
language_school|โรงเรียนสอนภาษา|โรงเรียนสอนภาษา, เรียนภาษาอังกฤษ, ติวภาษา, ครูสอนภาษา
removals|บริการขนย้าย|ขนย้าย, บริการขนย้าย, รถกระบะขนของ, กล่องลัง
international_removals|ขนย้ายระหว่างประเทศ|ย้ายไปต่างประเทศ, ขนย้ายระหว่างประเทศ, ตู้คอนเทนเนอร์, พิธีการศุลกากร
courier|บริการส่งพัสดุ|ส่งของ, ขนส่งพัสดุ, พัสดุ, แมสเซ็นเจอร์
freight_forwarding|ตัวแทนขนส่งสินค้า|ตัวแทนขนส่ง, โลจิสติกส์, ขนส่งสินค้า, พาเลท
refrigerated_transport|ขนส่งควบคุมอุณหภูมิ|ขนส่งแช่เย็น, รถห้องเย็น, ขนส่งแช่แข็ง, ระบบความเย็น
haulage|ขนส่งสินค้า|ขนส่งด้วยรถบรรทุก, รถบรรทุก, รถสิบล้อ, รถพ่วง
storage_warehousing|คลังสินค้าและที่เก็บของ|โกดัง, คลังสินค้า, รับฝากของ, ชั้นวางสินค้า
customs_brokerage|ตัวแทนออกของศุลกากร|ชิปปิ้ง, พิธีการศุลกากร, นำเข้า, ส่งออก
excavation|งานขุดและงานดิน|งานขุด, รถแบคโฮ, งานดิน, ขุดร่อง
crane_hire|ให้เช่าเครน|รถเครน, เช่าเครน, ยกของหนัก, เครนยก
scaffolding|นั่งร้าน|นั่งร้าน, ติดตั้งนั่งร้าน, เช่านั่งร้าน, แท่นทำงาน
demolition|งานรื้อถอน|รื้อถอน, ทุบตึก, เศษวัสดุก่อสร้าง, สกัดคอนกรีต
concrete_works|งานคอนกรีต|คอนกรีต, เทปูน, ฐานราก, ปรับระดับพื้น
surveying|งานสำรวจรังวัด|รังวัด, สำรวจที่ดิน, ช่างสำรวจ, แนวเขตที่ดิน
tool_hire|ให้เช่าเครื่องมือ|เช่าเครื่องมือ, เครื่องมือช่าง, สว่าน, เครื่องเจียร
machinery_rental|ให้เช่าเครื่องจักร|เช่าเครื่องจักร, เครื่องจักร, รถโฟล์คลิฟท์, เครื่องจักรก่อสร้าง
generator_hire|ให้เช่าเครื่องปั่นไฟ|เครื่องปั่นไฟ, เจนเนอเรเตอร์, ไฟสำรอง, สายไฟ
electrical_installation|งานติดตั้งไฟฟ้า|ช่างไฟ, งานไฟฟ้า, ตู้ควบคุมไฟ, ปลั๊กไฟ
plumbing|งานประปา|ช่างประปา, ท่อน้ำ, ห้องน้ำ, น้ำรั่ว
heating_hvac|ระบบทำความร้อนและระบายอากาศ|ระบบทำความร้อน, หม้อต้ม, เครื่องทำน้ำอุ่น, ฮีตเตอร์
air_conditioning|ติดตั้งและซ่อมแอร์|แอร์, ติดตั้งแอร์, ล้างแอร์, เครื่องปรับอากาศ
painting_decorating|งานทาสีและตกแต่ง|ช่างทาสี, ทาสีบ้าน, วอลเปเปอร์, โป๊วสี
carpentry|งานไม้|ช่างไม้, งานไม้, ทำเฟอร์นิเจอร์, ไม้
flooring|งานปูพื้น|ปูพื้น, ปาร์เก้, พื้นลามิเนต, กระเบื้องพื้น
roofing|งานหลังคา|ช่างหลังคา, หลังคา, รางน้ำฝน, มุงหลังคา
locksmith|ช่างกุญแจ|ช่างกุญแจ, สะเดาะกุญแจ, เปลี่ยนลูกบิด, ทำกุญแจ
cleaning_services|บริการทำความสะอาด|ทำความสะอาด, แม่บ้าน, ทำความสะอาดออฟฟิศ, บิ๊กคลีนนิ่ง
gardening_landscaping|จัดสวนและภูมิทัศน์|จัดสวน, ตัดหญ้า, ตัดแต่งต้นไม้, คนสวน
renovation|งานรีโนเวท|รีโนเวท, ต่อเติมบ้าน, ผู้รับเหมา, ปรับปรุงอาคาร
car_repair|อู่ซ่อมรถ|อู่ซ่อมรถ, ช่างยนต์, ซ่อมรถ, เช็คระยะ
mobile_mechanic|ช่างซ่อมรถนอกสถานที่|ช่างนอกสถานที่, ช่วยเหลือฉุกเฉิน, พ่วงแบตเตอรี่, รถเสีย
tyre_service|บริการยางรถยนต์|ยางรถยนต์, เปลี่ยนยาง, ปะยาง, ถ่วงล้อ
bodywork_paint|เคาะพ่นสี|เคาะพ่นสี, ทำสีรถ, ซ่อมตัวถัง, ซ่อมรอยบุบ
towing_recovery|รถลากและช่วยเหลือฉุกเฉิน|รถลาก, รถยก, บริการยกรถ, วินช์
childcare|รับเลี้ยงเด็ก|รับเลี้ยงเด็ก, เนอสเซอรี่, พี่เลี้ยงเด็ก, สถานรับเลี้ยง
elderly_care|ดูแลผู้สูงอายุ|ดูแลผู้สูงอายุ, บ้านพักคนชรา, ผู้ดูแล, ศูนย์ดูแลผู้สูงวัย
home_nursing|พยาบาลดูแลที่บ้าน|พยาบาลที่บ้าน, ดูแลผู้ป่วยที่บ้าน, ทำแผล, ผู้ช่วยพยาบาล
private_tutoring|ติวเตอร์|ติวเตอร์, สอนพิเศษ, เตรียมสอบ, การบ้าน
music_lessons|สอนดนตรี|เปียโน, กีตาร์, ร้องเพลง, เรียนดนตรี
sports_coaching|โค้ชกีฬา|โค้ช, ฟุตบอล, เทนนิส, ฝึกซ้อม
it_training|อบรมไอที|อบรมคอมพิวเตอร์, เอ็กเซล, สอนเขียนโปรแกรม, คอร์สไอที
vocational_training|ฝึกอบรมวิชาชีพ|ฝึกอาชีพ, อบรมวิชาชีพ, ใบรับรอง, ฝึกงาน
holiday_lettings|บ้านพักตากอากาศให้เช่า|บ้านพักตากอากาศ, ให้เช่ารายวัน, วิลล่า, แอร์บีเอ็นบี
guesthouse_bnb|เกสต์เฮาส์และที่พักพร้อมอาหารเช้า|เกสต์เฮาส์, ที่พักพร้อมอาหารเช้า, โฮมสเตย์, ห้องพัก
property_management|บริหารอสังหาริมทรัพย์|บริหารอสังหาริมทรัพย์, นิติบุคคลอาคาร, ปล่อยเช่า, ดูแลอาคาร
veterinary|สัตวแพทย์|สัตวแพทย์, คลินิกสัตว์, ฉีดวัคซีน, รักษาสัตว์
dog_walking|บริการพาสุนัขเดินเล่น|พาสุนัขเดินเล่น, รับจูงหมา, เดินเล่นกับสุนัข
