taxi|Taxi|taxík, jazda, odvoz, letisko
ride_hailing|Preprava cez aplikáciu|uber, bolt, spolujazda, aplikácia
chauffeur|Služby vodiča|osobný šofér, limuzína, vodič na zavolanie
driving_school|Autoškola|autoškola, jazdy, inštruktor, vodičák
translation|Preklady|prekladateľ, dokumenty, preklad, zmluva
interpreting|Tlmočenie|tlmočník, simultánne, konferencia, rokovanie
sworn_translation|Súdne preklady|úradný preklad, overený preklad, pečiatka, listina
language_school|Jazyková škola|jazykové kurzy, angličtina, lektor, výučba
removals|Sťahovanie|sťahovanie, sťahováci, dodávka, krabice
international_removals|Medzinárodné sťahovanie|sťahovanie do zahraničia, relokácia, kontajner, colnica
courier|Kuriérske služby|kuriér, doručenie, zásielka, balík
freight_forwarding|Zasielateľstvo|špedícia, logistika, preprava, paleta
refrigerated_transport|Chladiarenská preprava|chladiarenská preprava, mrazené, chladiaci voz, chladenie
haulage|Nákladná doprava|kamiónová doprava, kamión, náves, nákladné auto
storage_warehousing|Skladovanie|sklad, skladovanie, depo, regály
customs_brokerage|Colné služby|colná deklarácia, clo, dovoz, vývoz
excavation|Výkopové a zemné práce|výkopové práce, bager, zemné práce, ryha
crane_hire|Prenájom žeriavov|žeriav, dvíhanie, autožeriav, bremeno
scaffolding|Lešenie|lešenie, lešenár, montáž lešenia, plošina
demolition|Búracie práce|demolácia, búranie, sutina, búracie kladivo
concrete_works|Betónové práce|betón, betónovanie, základy, poter
surveying|Geodézia|geodet, zameranie, vytýčenie, kataster
tool_hire|Požičovňa náradia|požičovňa náradia, náradie, vŕtačka, brúska
machinery_rental|Prenájom strojov|požičovňa strojov, stroje, vysokozdvižný vozík, technika
generator_hire|Prenájom generátorov|elektrocentrála, generátor, záložný zdroj, kábel
electrical_installation|Elektroinštalácie|elektrikár, elektroinštalácia, rozvádzač, zásuvka
plumbing|Vodoinštalatérstvo|inštalatér, potrubie, kúpeľňa, únik vody
heating_hvac|Kúrenie a vzduchotechnika|kúrenár, kotol, radiátory, podlahové kúrenie
air_conditioning|Klimatizácia|klimatizácia, klíma, chladenie, split
painting_decorating|Maliarske práce|maliar, maľovanie, tapety, štetec
carpentry|Stolárstvo|stolár, tesár, nábytok, drevo
flooring|Podlahárstvo|podlahár, parkety, plávajúca podlaha, dlažba
roofing|Pokrývačstvo|klampiar, pokrývač, strecha, odkvapy
locksmith|Zámočníctvo|zámočník, zámky, kľúče, otváranie dverí
cleaning_services|Upratovacie služby|upratovanie, upratovačka, umývanie okien, upratovacia firma
gardening_landscaping|Záhradníctvo a sadové úpravy|záhradník, kosenie trávy, živý plot, záhrada
renovation|Rekonštrukcie|rekonštrukcia, stavebná firma, prestavba, sadrokartón
car_repair|Autoservis|autoservis, automechanik, servis, oprava auta
mobile_mechanic|Mobilný mechanik|pojazdný mechanik, odťah, štartovanie, porucha
tyre_service|Pneuservis|pneuservis, pneumatiky, prezutie, vyváženie
bodywork_paint|Karosárstvo a lakovanie|autolakovňa, karosárstvo, lakovanie, karoséria
towing_recovery|Odťahová služba|odťahová služba, odťah, navijak, odťahovka
childcare|Starostlivosť o deti|stráženie detí, škôlka, opatrovateľka, jasle
elderly_care|Starostlivosť o seniorov|opatrovanie seniorov, domov dôchodcov, opatrovateľka, seniori
home_nursing|Domáce ošetrovateľstvo|domáca starostlivosť, zdravotná sestra, ošetrovateľka, injekcie
private_tutoring|Doučovanie|doučovanie, lektor, príprava na skúšky, domáce úlohy
music_lessons|Hodiny hudby|klavír, gitara, spev, hudobná výučba
sports_coaching|Športový tréning|tréner, futbal, tenis, kondičný tréning
it_training|IT školenia|počítačové kurzy, excel, programovanie, školenie
vocational_training|Odborné kurzy|rekvalifikácia, odborný kurz, certifikácia, učňovský odbor
holiday_lettings|Prázdninové prenájmy|chata, apartmán, prenájom na dovolenku, airbnb
guesthouse_bnb|Penzión a nocľah s raňajkami|penzión, ubytovanie s raňajkami, izby, nocľah
property_management|Správa nehnuteľností|správa nehnuteľností, správa domu, prenájom, spoločenstvo vlastníkov
veterinary|Veterinár|veterinár, zverolekár, očkovanie, pes
dog_walking|Venčenie psov|venčenie psov, prechádzka so psom, venčiteľ
pet_grooming|Strihanie a úprava zvierat|psí salón, strihanie psov, úprava srsti, česanie
general_practice|Všeobecný lekár|všeobecný lekár, ambulancia, doktor, recept
dentistry|Zubné lekárstvo|zubár, zubný lekár, plomba, implantát
physiotherapy|Fyzioterapia|fyzioterapia, rehabilitácia, masáže, cvičenie
psychology|Psychológia|psychológ, terapia, poradňa, psychoterapia
pharmacy|Lekáreň|lekáreň, lieky, lekárnik, výživové doplnky
optometry|Optometria|optika, očný optik, okuliare, dioptrie
medical_laboratory|Zdravotnícke laboratórium|laboratórium, odber krvi, rozbory, vyšetrenie
software_development|Vývoj softvéru|programátor, vývojár, softvér, kód
web_development|Tvorba webu|webové stránky, tvorba webu, wordpress, eshop
it_support|IT podpora|it podpora, správa siete, servis počítačov, helpdesk
cybersecurity|Kybernetická bezpečnosť|kybernetická bezpečnosť, penetračné testy, firewall, zabezpečenie
data_ai|Dáta a AI|umelá inteligencia, strojové učenie, analytika, dáta
cloud_hosting|Cloud a hosting|hosting, server, cloud, doména
accounting|Účtovníctvo|účtovník, účtovníctvo, faktúry, mzdy
audit_tax|Audit a dane|daňový poradca, audit, daňové priznanie, dph
legal_services|Právne služby|advokát, právnik, právne služby, zmluva
hr_recruitment|HR a nábor|personalista, nábor, pracovná agentúra, životopis
management_consulting|Manažérske poradenstvo|konzultant, poradenstvo, stratégia, podnikateľský plán
insurance_brokerage|Poisťovacie maklérstvo|poisťovací poradca, poistenie, poistka, maklér
real_estate_agency|Realitná kancelária|realitná kancelária, realitný maklér, byt, dom
architecture|Architektúra|architekt, projekt, projektová dokumentácia, stavebné povolenie
manufacturing|Výroba|výroba, továreň, priemysel, montáž
cnc_machining|CNC obrábanie|cnc obrábanie, sústruženie, frézovanie, sústruh
metalwork_welding|Kovovýroba a zváranie|zvárač, kovovýroba, zámočníctvo, oceľ
restaurant|Reštaurácia|reštaurácia, jedlo, obedy, menu
catering|Catering|catering, rauty, občerstvenie, banket
hotel|Hotel|ubytovanie, hotel, hostel, izby
event_management|Organizácia podujatí|organizácia podujatí, svadby, konferencie, eventy
agriculture|Poľnohospodárstvo|poľnohospodárstvo, farma, traktor, zber úrody
forestry|Lesníctvo|lesníctvo, ťažba dreva, drevo, motorová píla
waste_recycling|Odpady a recyklácia|odpad, kontajner, zberné suroviny, recyklácia
renewable_energy|Obnoviteľná energia|obnoviteľné zdroje, solárne panely, veterná energia, tepelné čerpadlo
marketing_agency|Marketingová agentúra|marketing, reklama, kampaň, propagácia
graphic_design|Grafický dizajn|grafik, logo, grafický dizajn, tlačová príprava
photography|Fotografia|fotograf, fotoateliér, svadobný fotograf, fotenie
video_production|Video produkcia|kameraman, natáčanie, strih, video
printing_signage|Tlač a reklamné polepy|tlačiareň, tlač, bannery, polepy
wholesale|Veľkoobchod|veľkoobchod, distribútor, dodávateľ, tovar
ecommerce|E-shop|eshop, internetový obchod, marketplace, objednávky
security_services|Bezpečnostné služby|strážna služba, bezpečnostná agentúra, stráženie, kamerový systém
hairdressing|Kaderníctvo|kaderník, kaderníctvo, strih, farbenie vlasov
beauty_salon|Kozmetický salón|kozmetika, kozmetický salón, nechty, pleť
massage_therapy|Masáže|masér, masáže, wellness, relax
fitness_training|Fitnes tréning|osobný tréner, fitness, posilňovňa, cvičenie
shop_general|Obchod|obchod, predajňa, maloobchod, tovar
shop_bicycle|Cykloshop a servis|cyklo, bicykle, servis bicyklov, cyklistika
shop_auto_parts|Autodiely|autodiely, náhradné diely, autopríslušenstvo, filtre
shop_hardware|Železiarstvo a hobby|železiarstvo, hobbymarket, náradie, skrutky
shop_furniture|Nábytok|nábytok, kuchyne, sedačky, skrine
shop_electronics|Elektro a spotrebiče|elektro, spotrebiče, televízory, práčka
shop_clothing|Odevy|oblečenie, móda, obuv, textil
shop_grocery|Potraviny|potraviny, samoobsluha, supermarket, večierka
shop_sports|Športové potreby|športové potreby, športové vybavenie, outdoor, lyže
shop_books|Kníhkupectvo a papiernictvo|kníhkupectvo, papiernictvo, knihy, kancelárske potreby
shop_florist|Kvetinárstvo|kvetinárstvo, kvety, kytice, vence
shop_pet|Chovateľské potreby|chovateľské potreby, krmivo pre psy, akvárium, zvieratá
motorcycle_repair|Motoservis|motoservis, motorka, skúter, moped
bar|Bar|bar, krčma, koktaily, výčap
kebab_shawarma|Kebab a šawarma|kebab, gyros, šawarma, döner
pizzeria|Pizzeria|pizza, pizzeria, rozvoz pizze, talianska
fast_food|Rýchle občerstvenie|rýchle občerstvenie, burger, hranolky, bufet
bakery|Pekáreň|pekáreň, chlieb, pečivo, rožky
pastry_shop|Cukráreň|cukráreň, torty, zákusky, koláče
coffee_shop|Kaviareň|kaviareň, káva, espresso, barista
food_truck|Pojazdné občerstvenie|pojazdné občerstvenie, street food, foodtruck
butcher|Mäsiarstvo|mäsiarstvo, mäso, údeniny, klobásy
ice_cream|Zmrzlináreň|zmrzlina, zmrzlináreň, kopčeková zmrzlina, gelato
winery|Vinárstvo|vinárstvo, víno, vínna pivnica, degustácia
brewery|Pivovar|pivovar, pivo, remeselné pivo, výčap
nightclub|Nočný klub a diskotéka|nočný klub, diskotéka, tancovanie, dj
beach_club|Plážový bar a beach club|plážový bar, ležadlá, pláž, kúpalisko
bowling_billiards|Bowling a biliard|bowling, biliard, šípky, kolky
travel_agency|Cestovná kancelária|cestovná kancelária, zájazdy, letenky, dovolenka
nail_salon|Nechtové štúdio, manikúra a pedikúra|manikúra, pedikúra, nechty, gél lak
barber|Holičstvo|holič, barber shop, pánsky strih, brada
tattoo_piercing|Tetovanie a piercing|tetovanie, tetovacie štúdio, piercing, tattoo
spa_sauna|Wellness a sauna|wellness, sauna, kúpele, parný kúpeľ
cosmetics_shop|Drogéria a kozmetika|parfuméria, kozmetika, líčenie, starostlivosť o pleť
dry_cleaning|Čistiareň a práčovňa|čistiareň, práčovňa, žehlenie, pranie
podiatry|Podológia a starostlivosť o nohy|pedikúra, starostlivosť o nohy, zarastený necht, podiater
dental_laboratory|Zubné laboratórium|zubný technik, zubné protézy, korunky, náhrady
orthodontics|Ortodoncia|strojček, ortodontista, rovnanie zubov, aligner
dermatology|Dermatológia|kožný lekár, dermatológ, znamienka, akné
paediatrics|Pediatria|detský lekár, pediater, deti, dojča
gynaecology|Gynekológia|gynekológ, ženský lekár, tehotenstvo, pôrodníctvo
cardiology|Kardiológia|kardiológ, srdce, ekg, srdcový
medical_imaging|Zobrazovacie metódy|röntgen, ultrazvuk, magnetická rezonancia, ct
speech_therapy|Logopédia|logopéd, logopédia, reč, zajakávanie
nutrition_dietetics|Výživa a dietológia|výživový poradca, dietológ, chudnutie, jedálniček
bicycle_repair|Opravy bicyklov|servis bicyklov, oprava bicykla, defekt, cyklo servis
scooter_repair|Opravy skútrov a mopedov|oprava skútra, skúter, vespa, moped
appliance_repair|Opravy spotrebičov|oprava spotrebičov, práčka, chladnička, rúra
phone_repair|Opravy telefónov a tabletov|servis mobilov, výmena displeja, iphone, tablet
computer_repair|Opravy počítačov|servis počítačov, notebook, oprava pc, záchrana dát
watch_jewellery_repair|Opravy hodiniek a šperkov|hodinár, zlatník, klenotník, batéria do hodiniek
shoe_repair|Opravovňa obuvi|opravovňa obuvi, obuvník, podpätky, podrážky
tailoring_alterations|Krajčírstvo a úpravy|krajčír, švadlena, úpravy odevov, skracovanie
upholstery|Čalúnnictvo|čalúnnik, čalúnenie, poťahy, oprava sedačiek
glazing|Sklenárstvo a okná|sklenárstvo, sklenár, okná, sklo
chimney_sweep|Kominárstvo|kominár, komín, čistenie komína, sadze
pest_control|Deratizácia a dezinsekcia|deratizácia, dezinsekcia, ploštice, hubenie hmyzu
pool_maintenance|Údržba bazénov|servis bazénov, čistenie bazéna, chlór, bazén
window_cleaning|Umývanie okien|umývanie okien, čistenie skiel, fasáda, okná
car_wash|Umývanie áut|umyváreň áut, umývanie auta, ručné umývanie, čistenie interiéru
car_rental|Požičovňa áut|požičovňa áut, prenájom auta, autopožičovňa, vozidlá
