taxi|Taxi|taxík, jízda, odvoz, letiště
ride_hailing|Přeprava přes aplikaci|uber, bolt, spolujízda, aplikace
chauffeur|Služby řidiče|osobní řidič, limuzína, řidič na zavolání
driving_school|Autoškola|autoškola, jízdy, instruktor, řidičák
translation|Překlady|překladatel, dokumenty, překlad, smlouva
interpreting|Tlumočení|tlumočník, simultánní, konference, jednání
sworn_translation|Soudní překlady|soudní překlad, ověřený překlad, razítko, listina
language_school|Jazyková škola|jazykové kurzy, angličtina, lektor, výuka
removals|Stěhování|stěhování, stěhováci, dodávka, krabice
international_removals|Mezinárodní stěhování|stěhování do zahraničí, relokace, kontejner, celnice
courier|Kurýrní služby|kurýr, doručení, zásilka, balík
freight_forwarding|Zasilatelství|zasilatelství, logistika, přeprava, paleta
refrigerated_transport|Chlazená přeprava|chlazená přeprava, mražené, chladírenský vůz, chlazení
haulage|Nákladní doprava|kamionová doprava, kamion, návěs, nákladní auto
storage_warehousing|Skladování|sklad, skladování, depo, regály
customs_brokerage|Celní deklarace|celní deklarace, clo, dovoz, vývoz
excavation|Výkopové a zemní práce|výkopové práce, bagr, zemní práce, rýha
crane_hire|Pronájem jeřábů|jeřáb, zvedání, autojeřáb, břemeno
scaffolding|Lešení|lešení, lešenář, montáž lešení, plošina
demolition|Demolice|demolice, bourání, sutě, bourací kladivo
concrete_works|Betonářské práce|beton, betonování, základy, potěr
surveying|Geodézie|geodet, zaměření, vytyčení, katastr
tool_hire|Půjčovna nářadí|půjčovna nářadí, nářadí, vrtačka, bruska
machinery_rental|Pronájem strojů|půjčovna strojů, stroje, vysokozdvižný vozík, technika
generator_hire|Pronájem generátorů|elektrocentrála, generátor, záložní zdroj, kabel
electrical_installation|Elektroinstalace|elektrikář, elektroinstalace, rozvaděč, zásuvka
plumbing|Instalatérství|instalatér, potrubí, koupelna, únik vody
heating_hvac|Topení a vzduchotechnika|topenář, kotel, radiátory, podlahové topení
air_conditioning|Klimatizace|klimatizace, klima, chlazení, split
painting_decorating|Malířské práce|malíř, malování, tapety, štětec
carpentry|Truhlářství|truhlář, tesař, nábytek, dřevo
flooring|Podlahářství|podlahář, parkety, plovoucí podlaha, dlažba
roofing|Pokrývačství|klempíř, pokrývač, střecha, okapy
locksmith|Zámečnictví|zámečník, zámky, klíče, otevírání dveří
cleaning_services|Úklidové služby|úklid, uklízečka, mytí oken, úklidová firma
gardening_landscaping|Zahradnictví a sadové úpravy|zahradník, sekání trávy, živý plot, zahrada
renovation|Rekonstrukce|rekonstrukce, stavební firma, přestavba, sádrokarton
car_repair|Autoservis|autoservis, automechanik, servis, oprava auta
mobile_mechanic|Mobilní mechanik|pojízdný mechanik, odtah, startování, porucha
tyre_service|Pneuservis|pneuservis, pneumatiky, přezutí, vyvážení
bodywork_paint|Karosářství a lakování|autolakovna, klempířství, lakování, karoserie
towing_recovery|Odtahová služba|odtahová služba, odtah, naviják, odtahovka
childcare|Péče o děti|hlídání dětí, školka, chůva, jesle
elderly_care|Péče o seniory|péče o seniory, domov důchodců, pečovatelka, senioři
home_nursing|Domácí ošetřovatelství|domácí péče, zdravotní sestra, ošetřovatelka, injekce
private_tutoring|Doučování|doučování, lektor, příprava na zkoušky, domácí úkoly
music_lessons|Hodiny hudby|klavír, kytara, zpěv, hudební výuka
sports_coaching|Sportovní trénink|trenér, fotbal, tenis, kondiční trénink
it_training|IT školení|počítačové kurzy, excel, programování, školení
vocational_training|Odborné kurzy|rekvalifikace, odborný kurz, certifikace, učňovský obor
holiday_lettings|Prázdninové pronájmy|chata, apartmán, pronájem na dovolenou, airbnb
guesthouse_bnb|Penzion a nocleh se snídaní|penzion, ubytování se snídaní, pokoje, nocleh
property_management|Správa nemovitostí|správa nemovitostí, správa domu, pronájem, sdružení vlastníků
veterinary|Veterinář|veterinář, zvěrolékař, očkování, pes
dog_walking|Venčení psů|venčení psů, procházka se psem, venčitel
pet_grooming|Péče o srst zvířat|psí salon, stříhání psů, úprava srsti, česání
general_practice|Praktický lékař|praktický lékař, ordinace, doktor, recept
dentistry|Zubní lékařství|zubař, zubní lékař, plomba, implantát
physiotherapy|Fyzioterapie|fyzioterapie, rehabilitace, masáže, cvičení
psychology|Psychologie|psycholog, terapie, poradna, psychoterapie
pharmacy|Lékárna|lékárna, léky, lékárník, doplňky stravy
optometry|Optometrie|optika, oční optik, brýle, dioptrie
medical_laboratory|Zdravotnická laboratoř|laboratoř, odběr krve, rozbory, vyšetření
software_development|Vývoj softwaru|programátor, vývojář, software, kód
web_development|Tvorba webu|webové stránky, tvorba webu, wordpress, eshop
it_support|IT podpora|it podpora, správa sítě, servis počítačů, helpdesk
cybersecurity|Kybernetická bezpečnost|kyberbezpečnost, penetrační testy, firewall, zabezpečení
data_ai|Data a AI|umělá inteligence, strojové učení, analytika, data
cloud_hosting|Cloud a hosting|hosting, server, cloud, doména
accounting|Účetnictví|účetní, účetnictví, faktury, mzdy
audit_tax|Audit a daně|daňový poradce, audit, daňové přiznání, dph
legal_services|Právní služby|advokát, právník, právní služby, smlouva
hr_recruitment|HR a nábor|personalista, nábor, pracovní agentura, životopis
management_consulting|Manažerské poradenství|konzultant, poradenství, strategie, podnikatelský plán
insurance_brokerage|Pojišťovací makléřství|pojišťovací poradce, pojištění, pojistka, makléř
real_estate_agency|Realitní kancelář|realitní kancelář, realitní makléř, byt, dům
architecture|Architektura|architekt, projekt, projektová dokumentace, stavební povolení
manufacturing|Výroba|výroba, továrna, průmysl, montáž
cnc_machining|CNC obrábění|cnc obrábění, soustružení, frézování, soustruh
metalwork_welding|Kovovýroba a svařování|svářeč, kovovýroba, zámečnictví, ocel
restaurant|Restaurace|restaurace, jídlo, obědy, menu
catering|Catering|catering, rauty, občerstvení, banket
