taxi|Taxi|taxa, tur, kørsel, lufthavn
ride_hailing|Kørsel via app|uber, bolt, samkørsel, app
chauffeur|Chaufførtjenester|privatchauffør, limousine, chauffør
driving_school|Køreskole|køreskole, køretimer, kørelærer, kørekort
translation|Oversættelse|oversætter, dokumenter, oversættelse, kontrakt
interpreting|Tolkning|tolk, simultantolkning, konference, møde
sworn_translation|Autoriseret oversættelse|autoriseret oversætter, bekræftet oversættelse, stempel, dokument
language_school|Sprogskole|sprogkurser, engelskundervisning, underviser, sprogskole
removals|Flytning|flytning, flyttemænd, flyttebil, kasser
international_removals|International flytning|flytning til udlandet, relokering, container, told
courier|Kurertjeneste|kurer, levering, pakke, budservice
freight_forwarding|Spedition|speditør, logistik, fragt, palle
refrigerated_transport|Køletransport|køletransport, frost, kølebil, kølekæde
haulage|Godstransport|vognmand, lastbil, godstransport, trailer
storage_warehousing|Opbevaring og lager|lager, opbevaring, depot, reoler
customs_brokerage|Toldbehandling|toldbehandling, told, import, eksport
excavation|Udgravning og jordarbejde|gravearbejde, gravemaskine, jordarbejde, udgravning
crane_hire|Kranudlejning|kran, kranudlejning, løft, mobilkran
scaffolding|Stillads|stillads, stilladsopsætning, stilladsudlejning, platform
demolition|Nedrivning|nedrivning, nedbrydning, byggeaffald, mejselhammer
concrete_works|Betonarbejde|beton, støbning, fundament, afretning
surveying|Landinspektør|landinspektør, opmåling, matrikel, terrænmåling
tool_hire|Værktøjsudlejning|værktøjsudlejning, værktøj, boremaskine, vinkelsliber
machinery_rental|Maskinudlejning|maskinudlejning, maskiner, gaffeltruck, entreprenørmateriel
generator_hire|Generatorudlejning|generator, nødstrøm, strømforsyning, aggregat
electrical_installation|Elinstallation|elektriker, el-installation, tavle, stikkontakt
plumbing|VVS|vvs, blikkenslager, rør, badeværelse
heating_hvac|Varme og ventilation|varmeanlæg, fyr, radiatorer, gulvvarme
air_conditioning|Aircondition|aircondition, køling, klimaanlæg, split
painting_decorating|Malerarbejde|maler, malerarbejde, tapet, spartling
carpentry|Tømrer og snedker|tømrer, snedker, møbler, træ
flooring|Gulvlægning|gulvlægger, parket, laminat, gulvafslibning
roofing|Tagarbejde|tagdækker, tag, tagrender, tagpap
locksmith|Låsesmed|låsesmed, låse, nøgler, døroplukning
cleaning_services|Rengøring|rengøring, rengøringshjælp, kontorrengøring, hovedrengøring
gardening_landscaping|Havearbejde og anlæg|anlægsgartner, græsslåning, hæk, have
renovation|Renovering|renovering, ombygning, entreprenør, byggefirma
car_repair|Autoværksted|autoværksted, mekaniker, bilservice, bilreparation
mobile_mechanic|Mobil mekaniker|mobil mekaniker, vejhjælp, starthjælp, nødreparation
tyre_service|Dækservice|dæk, dækskifte, punktering, afbalancering
bodywork_paint|Pladearbejde og lak|autolakering, pladearbejde, buleudbedring, karrosseri
towing_recovery|Autohjælp og bugsering|autohjælp, bugsering, vejhjælp, spil
childcare|Børnepasning|børnepasning, vuggestue, barnepige, dagpleje
elderly_care|Ældrepleje|ældrepleje, plejehjem, hjemmehjælp, seniorer
home_nursing|Hjemmesygepleje|hjemmesygepleje, sygeplejerske, pleje i hjemmet, sårpleje
private_tutoring|Privatundervisning|lektiehjælp, privatundervisning, eksamensforberedelse, underviser
music_lessons|Musikundervisning|klaver, guitar, sang, musikundervisning
sports_coaching|Sportstræning|træner, fodbold, tennis, holdtræning
it_training|IT-kurser|computerkurser, excel, programmeringskursus, it-kursus
vocational_training|Erhvervsuddannelse|erhvervsuddannelse, faglig kursus, certificering, lærlingeforløb
holiday_lettings|Ferieudlejning|sommerhus, ferielejlighed, udlejning, airbnb
guesthouse_bnb|Pensionat og bed and breakfast|bed and breakfast, pensionat, kro, værelser
property_management|Ejendomsadministration|ejendomsadministration, viceværtservice, udlejning, andelsforening
veterinary|Dyrlæge|dyrlæge, dyreklinik, vaccination, hund
dog_walking|Hundeluftning|hundeluftning, hundelufter, gåtur med hund
pet_grooming|Dyretrimning|hundefrisør, trimning, pelspleje, dyresalon
general_practice|Almen praksis|læge, praktiserende læge, lægehus, recept
dentistry|Tandpleje|tandlæge, tandklinik, plombe, implantat
physiotherapy|Fysioterapi|fysioterapi, fysioterapeut, genoptræning, behandling
