taxi|Taxi|Taxi, rit, luchthaven, transfer
ride_hailing|Ride-hailing|Uber, Bolt, app, chauffeur
chauffeur|Chauffeursdienst|Privéchauffeur, limousine, bestuurder
driving_school|Rijschool|Rijlessen, instructeur, rijbewijs
translation|Vertaling|Vertaler, documenten, akten, contract
interpreting|Tolken|Tolk, simultaan, congres, rechtbank
sworn_translation|Beëdigde vertaling|Beëdigd, gewaarmerkt, akte, diploma
language_school|Taalschool|Taalcursus, lessen, docent
removals|Verhuizingen|Verhuisbedrijf, meubels, dozen, bus
international_removals|Internationale verhuizingen|Buitenland, overzee, container, douane
courier|Koeriersdienst|Koerier, pakket, spoed, bezorging
freight_forwarding|Expeditie|Expediteur, logistiek, pallet, vracht
refrigerated_transport|Koeltransport|Koelketen, diepvries, bederfelijk
haulage|Wegtransport|Vrachtwagen, oplegger, aanhanger
storage_warehousing|Opslag|Magazijn, loods, pallet, opslagruimte
customs_brokerage|Douane-expediteur|Douane, import, export, aangifte
excavation|Grondwerk|Graafmachine, sleuf, uitgraving, grond
crane_hire|Kraanverhuur|Kraan, hijswerk, autokraan
scaffolding|Steigerbouw|Steiger, platform, gevel
demolition|Sloopwerk|Slopen, ontmanteling, puin
concrete_works|Betonwerk|Beton, dekvloer, fundering, bekisting
surveying|Landmeting|Landmeter, kadaster, opmeting, plan
tool_hire|Gereedschapsverhuur|Gereedschap, boormachine, slijptol
machinery_rental|Machineverhuur|Machines, heftruck, bouwmachines
generator_hire|Aggregaatverhuur|Generator, aggregaat, stroom
electrical_installation|Elektrische installatie|Elektricien, kabel, stopcontact, groepenkast, zekering
plumbing|Loodgieterswerk|Loodgieter, leiding, kraan, boiler, lek, badkamer
heating_hvac|Verwarming|CV-monteur, ketel, radiatoren, warmtepomp
air_conditioning|Airconditioning|Airco, koeling, split, ventilatie
painting_decorating|Schilderwerk|Schilder, verf, behang, plamuur
carpentry|Timmerwerk|Timmerman, hout, meubels, deur, kast
flooring|Vloeren|Parket, laminaat, tegels, tapijt
roofing|Dakwerk|Dakdekker, dakpannen, goot, isolatie
locksmith|Slotenmaker|Slot, sleutels, deuropening, veiligheidsdeur
cleaning_services|Schoonmaak|Schoonmaakbedrijf, werkster, kantoren
gardening_landscaping|Tuinonderhoud en hoveniers|Hovenier, gazon, haag, bomen, snoeien
renovation|Renovatie|Aannemer, verbouwing, klusbedrijf
car_repair|Autogarage|Garage, monteur, onderhoud, motor, remmen, APK
mobile_mechanic|Mobiele monteur|Pechhulp, aan huis, accu, storing
tyre_service|Bandenservice|Banden, velgen, lekke band, balanceren
bodywork_paint|Schadeherstel en spuiterij|Plaatwerker, deuk, spuiten, schade
towing_recovery|Sleepdienst|Slepen, berging, lier
childcare|Kinderopvang|Crèche, gastouder, oppas, babysitter
elderly_care|Ouderenzorg|Verzorgende, begeleiding, verzorgingshuis
home_nursing|Thuisverpleging|Verpleegkundige, thuiszorg, palliatief
private_tutoring|Bijles|Huiswerkbegeleiding, examens, privéleraar
music_lessons|Muziekles|Piano, gitaar, viool, zang, muziekleraar
sports_coaching|Sporttraining|Trainer, voetbal, tennis, coaching
it_training|IT-cursussen|Computercursus, Excel, programmeren
