taxi|Taxi|taxi, fuvar, transzfer, reptér
ride_hailing|Applikációs fuvarszolgáltatás|uber, bolt, telekocsi, applikáció
chauffeur|Sofőrszolgálat|személyi sofőr, limuzin, sofőrszolgálat
driving_school|Autósiskola|autósiskola, vezetési órák, jogosítvány, oktató
translation|Fordítás|fordító, dokumentumok, fordítás, szerződés
interpreting|Tolmácsolás|tolmács, szinkrontolmácsolás, konferencia, tárgyalás
sworn_translation|Hiteles fordítás|hiteles fordítás, szakfordító, pecsét, okirat
language_school|Nyelviskola|nyelvtanfolyam, angol óra, nyelvtanár, nyelviskola
removals|Költöztetés|költöztetés, költöztetők, furgon, dobozok
international_removals|Nemzetközi költöztetés|külföldi költöztetés, kiköltözés, konténer, vám
courier|Futárszolgálat|futár, kézbesítés, csomag, futárszolgálat
freight_forwarding|Szállítmányozás|szállítmányozás, logisztika, fuvarozás, raklap
refrigerated_transport|Hűtött szállítás|hűtött szállítás, fagyasztott áru, hűtőkocsi, hűtőlánc
haulage|Teherfuvarozás|kamionos fuvarozás, kamion, teherszállítás, pótkocsi
storage_warehousing|Raktározás|raktár, raktározás, tárolás, polcok
customs_brokerage|Vámügyintézés|vámügyintézés, vám, import, export
excavation|Földmunka és kotrás|földmunka, markoló, kotrás, árok
crane_hire|Darubérlés|daru, darubérlés, emelés, autódaru
scaffolding|Állványozás|állványozás, állvány, állványbérlés, munkaplatform
demolition|Bontás|bontás, bontási munkák, építési törmelék, betontörés
concrete_works|Betonozás|beton, betonozás, alapozás, esztrich
surveying|Földmérés|földmérő, felmérés, geodézia, telekhatár
tool_hire|Szerszámkölcsönzés|szerszámkölcsönző, szerszámok, fúrógép, sarokcsiszoló
machinery_rental|Gépkölcsönzés|gépkölcsönző, gépek, targonca, építőipari gépek
generator_hire|Aggregátorbérlés|aggregátor, generátor, szükségáramforrás, kábel
electrical_installation|Villanyszerelés|villanyszerelő, villanyszerelés, kapcsolószekrény, konnektor
plumbing|Vízvezeték-szerelés|vízvezeték szerelő, csövek, fürdőszoba, csőtörés
heating_hvac|Fűtés és légtechnika|fűtésszerelő, kazán, radiátorok, padlófűtés
air_conditioning|Klímaszerelés|klíma, légkondi, hűtés, split klíma
painting_decorating|Festés és tapétázás|festő, szobafestés, tapétázás, glettelés
carpentry|Asztalosmunka|asztalos, ács, bútor, fa
flooring|Burkolás és padló|padlóburkoló, parketta, laminált padló, parkettacsiszolás
roofing|Tetőfedés|tetőfedő, tető, ereszcsatorna, bádogos
locksmith|Zárszerviz|lakatos, zárak, kulcs, ajtónyitás
cleaning_services|Takarítás|takarítás, takarítónő, irodatakarítás, nagytakarítás
gardening_landscaping|Kertészet és kertépítés|kertész, fűnyírás, sövény, kertépítés
renovation|Felújítás|felújítás, lakásfelújítás, építőipari cég, átalakítás
car_repair|Autószerviz|autószerelő, autószerviz, szerviz, autójavítás
mobile_mechanic|Mobil szerelő|mobil szerelő, útmenti segítség, bikázás, meghibásodás
tyre_service|Gumiszerviz|gumiszerviz, gumiabroncs, defektjavítás, centrírozás
bodywork_paint|Karosszéria és fényezés|autófényezés, karosszéria, horpadás, autólakkozás
towing_recovery|Autómentés|autómentő, vontatás, szervizszállítás, csörlő
childcare|Gyermekfelügyelet|gyermekfelügyelet, óvoda, bébiszitter, bölcsőde
elderly_care|Idősgondozás|idősgondozás, idősek otthona, házi gondozás, nyugdíjasok
home_nursing|Otthoni ápolás|otthoni ápolás, nővér, otthoni betegellátás, sebkezelés
private_tutoring|Magánoktatás|korrepetálás, magántanár, vizsgafelkészítés, házi feladat
music_lessons|Zeneoktatás|zongora, gitár, ének, zeneóra
sports_coaching|Sportedzés|edző, foci, tenisz, edzés
it_training|IT-képzés|számítógépes tanfolyam, excel, programozás tanfolyam, informatikai képzés
vocational_training|Szakképzés|szakképzés, szaktanfolyam, tanúsítvány, tanoncképzés
holiday_lettings|Nyaralókiadás|nyaraló, apartman, kiadó szállás, airbnb
guesthouse_bnb|Panzió és reggelis szállás|panzió, vendégház, reggelis szállás, szobák
property_management|Ingatlankezelés|ingatlankezelés, társasházkezelés, bérbeadás, közös képviselet
veterinary|Állatorvos|állatorvos, állatkórház, oltás, kutya
dog_walking|Kutyasétáltatás|kutyasétáltatás, kutyasétáltató, séta
pet_grooming|Kisállat-kozmetika|kutyakozmetika, nyírás, szőrápolás, állatszalon
general_practice|Háziorvos|háziorvos, orvos, rendelő, recept
dentistry|Fogászat|fogorvos, fogászat, tömés, implantátum
physiotherapy|Gyógytorna|gyógytorna, fizioterápia, rehabilitáció, kezelés
psychology|Pszichológia|pszichológus, terápia, tanácsadás, pszichoterápia
pharmacy|Gyógyszertár|gyógyszertár, gyógyszer, patika, étrendkiegészítő
optometry|Optometria|optikus, szemüveg, látásvizsgálat, kontaktlencse
medical_laboratory|Orvosi labor|labor, vérvétel, vizsgálatok, laborlelet
software_development|Szoftverfejlesztés|programozó, fejlesztő, szoftver, kód
web_development|Webfejlesztés|weboldal, webfejlesztés, wordpress, webshop
it_support|IT-támogatás|it támogatás, hálózat, számítógép szerviz, rendszergazda
cybersecurity|Kiberbiztonság|kiberbiztonság, biztonsági teszt, tűzfal, behatolásvizsgálat
data_ai|Adat és mesterséges intelligencia|mesterséges intelligencia, gépi tanulás, adatelemzés, algoritmus
cloud_hosting|Felhő és tárhely|tárhely, szerver, felhő, domain
accounting|Könyvelés|könyvelő, könyvelés, számlázás, bérszámfejtés
audit_tax|Könyvvizsgálat és adó|könyvvizsgáló, adótanácsadó, beszámoló, áfa
legal_services|Jogi szolgáltatások|ügyvéd, jogász, jogi tanácsadás, szerződés
hr_recruitment|HR és toborzás|toborzás, munkaerő közvetítés, fejvadász, önéletrajz
management_consulting|Vezetési tanácsadás|tanácsadó, üzleti tanácsadás, stratégia, üzleti terv
insurance_brokerage|Biztosításközvetítés|biztosítási alkusz, biztosítás, kötvény, kárrendezés
real_estate_agency|Ingatlaniroda|ingatlaniroda, ingatlanos, lakás, ház
architecture|Építészet|építész, tervrajz, építési engedély, tervezés
manufacturing|Gyártás|gyártás, gyár, ipar, összeszerelés
cnc_machining|CNC-megmunkálás|cnc, esztergálás, marás, fémmegmunkálás
metalwork_welding|Fémmegmunkálás és hegesztés|hegesztő, kovács, acél, lakatosmunka
restaurant|Étterem|étterem, étel, vendéglő, étlap
catering|Catering|catering, rendezvényétkeztetés, büféasztal, hidegtál
hotel|Szálloda|szálloda, szállás, hostel, szobák
event_management|Rendezvényszervezés|rendezvényszervezés, esküvőszervező, konferencia, esemény
agriculture|Mezőgazdaság|mezőgazdaság, gazdaság, traktor, betakarítás
forestry|Erdészet|erdőgazdálkodás, fakitermelés, faanyag, láncfűrész
