taxi|Ταξί|ταξί, διαδρομή, μεταφορά, αεροδρόμιο
ride_hailing|Μεταφορά μέσω εφαρμογής|uber, bolt, συνεπιβατικότητα, εφαρμογή
chauffeur|Υπηρεσίες οδηγού|προσωπικός οδηγός, λιμουζίνα, οδηγός
driving_school|Σχολή οδηγών|σχολή οδηγών, μαθήματα οδήγησης, δίπλωμα, εκπαιδευτής
translation|Μεταφράσεις|μεταφραστής, έγγραφα, μετάφραση, συμβόλαιο
interpreting|Διερμηνεία|διερμηνέας, ταυτόχρονη διερμηνεία, συνέδριο, συνάντηση
sworn_translation|Επίσημες μεταφράσεις|επίσημη μετάφραση, πιστοποιημένη μετάφραση, σφραγίδα, έγγραφο
language_school|Κέντρο ξένων γλωσσών|μαθήματα ξένων γλωσσών, αγγλικά, καθηγητής, φροντιστήριο ξένων γλωσσών
removals|Μετακομίσεις|μετακόμιση, μεταφορική, φορτηγάκι, κούτες
international_removals|Διεθνείς μετακομίσεις|μετακόμιση στο εξωτερικό, μετεγκατάσταση, κοντέινερ, τελωνείο
courier|Υπηρεσίες κούριερ|κούριερ, παράδοση, δέμα, ταχυμεταφορές
freight_forwarding|Διαμεταφορές|διαμεταφορά, εφοδιαστική, μεταφορά εμπορευμάτων, παλέτα
refrigerated_transport|Μεταφορά με ψυγείο|ψυκτική μεταφορά, κατεψυγμένα, ψυγείο φορτηγό, ψυκτική αλυσίδα
haulage|Οδικές εμπορευματικές μεταφορές|οδικές μεταφορές, φορτηγό, νταλίκα, ρυμουλκούμενο
storage_warehousing|Αποθήκευση|αποθήκη, αποθήκευση, φύλαξη, ράφια
customs_brokerage|Εκτελωνιστικές υπηρεσίες|εκτελωνιστής, τελωνείο, εισαγωγή, εξαγωγή
excavation|Εκσκαφές και χωματουργικά|χωματουργικά, εκσκαφέας, εκσκαφή, τάφρος
crane_hire|Ενοικίαση γερανών|γερανός, ενοικίαση γερανού, ανύψωση, γερανοφόρο
scaffolding|Σκαλωσιές|σκαλωσιά, τοποθέτηση σκαλωσιάς, ενοικίαση σκαλωσιάς, εξέδρα
demolition|Κατεδαφίσεις|κατεδάφιση, αποξήλωση, μπάζα, κομπρεσέρ
concrete_works|Εργασίες σκυροδέματος|σκυρόδεμα, μπετόν, θεμέλια, τσιμεντοκονία
surveying|Τοπογραφικά|τοπογράφος, αποτύπωση, κτηματολόγιο, όρια οικοπέδου
tool_hire|Ενοικίαση εργαλείων|ενοικίαση εργαλείων, εργαλεία, δράπανο, τροχός
machinery_rental|Ενοικίαση μηχανημάτων|ενοικίαση μηχανημάτων, μηχανήματα, κλαρκ, εργοταξιακά μηχανήματα
generator_hire|Ενοικίαση γεννητριών|γεννήτρια, ηλεκτρογεννήτρια, εφεδρικό ρεύμα, καλώδιο
electrical_installation|Ηλεκτρολογικές εγκαταστάσεις|ηλεκτρολόγος, ηλεκτρολογικές εγκαταστάσεις, πίνακας, πρίζα
plumbing|Υδραυλικά|υδραυλικός, σωλήνες, μπάνιο, διαρροή
heating_hvac|Θέρμανση και κλιματισμός|θέρμανση, λέβητας, καλοριφέρ, ενδοδαπέδια θέρμανση
air_conditioning|Κλιματισμός|κλιματιστικό, ψύξη, air condition, split
painting_decorating|Ελαιοχρωματισμοί|ελαιοχρωματιστής, βάψιμο, ταπετσαρία, στοκάρισμα
carpentry|Ξυλουργική|ξυλουργός, μαραγκός, έπιπλα, ξύλο
flooring|Δάπεδα|πάτωμα, παρκέ, laminate, τρίψιμο πατώματος
roofing|Στέγες|σκεπάς, στέγη, υδρορροές, λαμαρίνα
locksmith|Κλειδαράς|κλειδαράς, κλειδαριές, κλειδιά, άνοιγμα πόρτας
cleaning_services|Υπηρεσίες καθαρισμού|καθαρισμός, καθαρίστρια, καθαρισμός γραφείων, γενικός καθαρισμός
gardening_landscaping|Κηπουρική και διαμόρφωση κήπων|κηπουρός, κούρεμα γκαζόν, φράχτης από θάμνους, διαμόρφωση κήπου
renovation|Ανακαινίσεις|ανακαίνιση, ανακατασκευή, εργολάβος, μετατροπή
car_repair|Συνεργείο αυτοκινήτων|συνεργείο αυτοκινήτων, μηχανικός, σέρβις, επισκευή αυτοκινήτου
mobile_mechanic|Κινητό συνεργείο|κινητό συνεργείο, οδική βοήθεια, μπαταρία, βλάβη
tyre_service|Ελαστικά και βουλκανιζατέρ|ελαστικά, αλλαγή ελαστικών, βουλκανιζατέρ, ζυγοστάθμιση
bodywork_paint|Φανοποιείο και βαφή|φανοποιείο, βαφή αυτοκινήτου, λαμαρινάς, αμάξωμα
towing_recovery|Οδική βοήθεια|ρυμούλκηση, οδική βοήθεια, γερανός αυτοκινήτων, βίντσι
childcare|Φροντίδα παιδιών|φύλαξη παιδιών, παιδικός σταθμός, νταντά, βρεφονηπιακός
elderly_care|Φροντίδα ηλικιωμένων|φροντίδα ηλικιωμένων, γηροκομείο, κατ οίκον φροντίδα, ηλικιωμένοι
home_nursing|Κατ' οίκον νοσηλεία|νοσηλεία κατ οίκον, νοσηλεύτρια, φροντίδα στο σπίτι, τραύματα
private_tutoring|Ιδιαίτερα μαθήματα|ιδιαίτερα μαθήματα, καθηγητής, προετοιμασία εξετάσεων, εργασίες
music_lessons|Μαθήματα μουσικής|πιάνο, κιθάρα, τραγούδι, μαθήματα μουσικής
sports_coaching|Προπόνηση|προπονητής, ποδόσφαιρο, τένις, προπόνηση
it_training|Εκπαίδευση πληροφορικής|μαθήματα υπολογιστών, excel, μαθήματα προγραμματισμού, πληροφορική
vocational_training|Επαγγελματική κατάρτιση|επαγγελματική κατάρτιση, σεμινάριο, πιστοποίηση, μαθητεία
holiday_lettings|Ενοικιάσεις διακοπών|εξοχική κατοικία, διαμέρισμα, βραχυχρόνια μίσθωση, airbnb
guesthouse_bnb|Ξενώνας και δωμάτια με πρωινό|ξενώνας, πανσιόν, δωμάτια με πρωινό, δωμάτια
property_management|Διαχείριση ακινήτων|διαχείριση ακινήτων, διαχείριση πολυκατοικίας, ενοικιάσεις, κοινόχρηστα
