taxi|Taksi|taksi, kyyti, kuljetus, lentokenttä
ride_hailing|Kyytipalvelu sovelluksella|uber, bolt, kimppakyyti, sovellus
chauffeur|Kuljettajapalvelut|yksityiskuljettaja, limusiini, autonkuljettaja
driving_school|Autokoulu|autokoulu, ajotunnit, ajokortti, ajo-opettaja
translation|Käännökset|kääntäjä, asiakirjat, käännös, sopimus
interpreting|Tulkkaus|tulkki, simultaanitulkkaus, konferenssi, kokous
sworn_translation|Auktorisoidut käännökset|auktorisoitu kääntäjä, virallinen käännös, leima, asiakirja
language_school|Kielikoulu|kielikurssit, englannin opetus, opettaja, kielikoulu
removals|Muutot|muutto, muuttofirma, muuttoauto, laatikot
international_removals|Kansainväliset muutot|ulkomaanmuutto, relokaatio, kontti, tulli
courier|Kuriiripalvelut|lähetti, toimitus, paketti, kuriiripalvelu
freight_forwarding|Huolinta|huolinta, logistiikka, rahti, lava
refrigerated_transport|Kylmäkuljetus|kylmäkuljetus, pakaste, kylmäauto, kylmäketju
haulage|Rahtiliikenne|kuljetusliike, rekka, tavarakuljetus, perävaunu
storage_warehousing|Varastointi|varasto, varastointi, säilytys, hyllyt
customs_brokerage|Tullaus|tullaus, tulli, tuonti, vienti
excavation|Kaivuu ja maanrakennus|maanrakennus, kaivinkone, maansiirto, kaivuu
crane_hire|Nosturivuokraus|nosturi, nosturivuokraus, nosto, autonosturi
scaffolding|Telineet|telineet, rakennustelineet, telinetyö, työtaso
demolition|Purkutyöt|purku, purkutyö, purkujäte, piikkaus
concrete_works|Betonityöt|betoni, valu, perustukset, tasoite
surveying|Maanmittaus|maanmittaus, mittaus, kartoitus, tontin rajat
tool_hire|Työkaluvuokraus|työkaluvuokraus, työkalut, porakone, kulmahiomakone
machinery_rental|Konevuokraus|konevuokraus, koneet, trukki, työkoneet
generator_hire|Aggregaattivuokraus|aggregaatti, generaattori, varavoima, sähkökaapeli
electrical_installation|Sähköasennukset|sähköasentaja, sähköasennus, sähkökeskus, pistorasia
plumbing|Putkityöt|putkimies, lvi, putket, kylpyhuone
heating_hvac|Lämmitys ja ilmanvaihto|lämmitys, kattila, patterit, lattialämmitys
air_conditioning|Ilmastointi|ilmastointi, jäähdytys, ilmalämpöpumppu, split
painting_decorating|Maalaus ja tapetointi|maalari, maalaus, tapetointi, tasoitus
carpentry|Puusepäntyöt|puuseppä, kirvesmies, huonekalut, puu
flooring|Lattiatyöt|lattia-asentaja, parketti, laminaatti, lattian hionta
roofing|Kattotyöt|kattoasentaja, katto, sadevesikourut, huopakatto
locksmith|Lukkoseppä|lukkoseppä, lukot, avaimet, oven avaus
cleaning_services|Siivouspalvelut|siivous, siivousfirma, toimistosiivous, suursiivous
gardening_landscaping|Puutarha ja viherrakentaminen|puutarhuri, nurmikon leikkuu, pensasaita, piha
renovation|Remontointi|remontti, saneeraus, rakennusfirma, remonttimies
car_repair|Autokorjaamo|autokorjaamo, mekaanikko, huolto, auton korjaus
mobile_mechanic|Liikkuva mekaanikko|liikkuva mekaanikko, tiepalvelu, apukäynnistys, hinaus
tyre_service|Rengaspalvelu|renkaat, rengasvaihto, rengasrikko, tasapainotus
bodywork_paint|Kolarikorjaus ja maalaus|automaalaus, peltityö, kolarikorjaus, kori
towing_recovery|Hinaus|hinaus, hinausauto, tiepalvelu, vinssi
childcare|Lastenhoito|lastenhoito, päiväkoti, lastenhoitaja, hoitopaikka
elderly_care|Vanhustenhoito|vanhustenhoito, hoivakoti, kotihoito, ikäihmiset
home_nursing|Kotisairaanhoito|kotisairaanhoito, sairaanhoitaja, hoito kotona, haavanhoito
private_tutoring|Yksityisopetus|tukiopetus, yksityisopettaja, kokeisiin valmistautuminen, läksyapu
music_lessons|Musiikkitunnit|piano, kitara, laulu, musiikkitunnit
sports_coaching|Urheiluvalmennus|valmentaja, jalkapallo, tennis, harjoittelu
it_training|IT-koulutus|tietokonekurssit, excel, ohjelmointikurssi, it-koulutus
vocational_training|Ammattikoulutus|ammattikoulutus, ammattikurssi, sertifiointi, oppisopimus
holiday_lettings|Lomavuokraus|mökki, lomahuoneisto, vuokraus, airbnb
guesthouse_bnb|Majatalo ja aamiaismajoitus|aamiaismajoitus, majatalo, täysihoitola, huoneet
property_management|Kiinteistönhoito|isännöinti, kiinteistönhoito, vuokraus, taloyhtiö
veterinary|Eläinlääkäri|eläinlääkäri, eläinklinikka, rokotus, koira
dog_walking|Koiran ulkoilutus|koiran ulkoilutus, koiranulkoiluttaja, lenkitys
pet_grooming|Lemmikkien trimmaus|koiratrimmaus, trimmaus, turkinhoito, eläinsalonki
general_practice|Yleislääkäri|lääkäri, terveyskeskus, yleislääkäri, resepti
dentistry|Hammashoito|hammaslääkäri, hammashoito, paikkaus, implantti
physiotherapy|Fysioterapia|fysioterapia, fysioterapeutti, kuntoutus, hoito
psychology|Psykologia|psykologi, terapia, keskusteluterapia, psykoterapia
pharmacy|Apteekki|apteekki, lääkkeet, reseptilääke, ravintolisät
optometry|Optikko|optikko, silmälasit, näöntarkastus, piilolinssit
medical_laboratory|Lääketieteellinen laboratorio|laboratorio, verikokeet, analyysit, näytteenotto
software_development|Ohjelmistokehitys|ohjelmoija, kehittäjä, ohjelmisto, koodi
web_development|Verkkosivujen teko|verkkosivut, web-suunnittelu, wordpress, verkkokauppa
it_support|IT-tuki|it-tuki, verkko, tietokoneapu, järjestelmänvalvoja
cybersecurity|Kyberturvallisuus|tietoturva, tietoturvatestaus, palomuuri, penetraatiotesti
data_ai|Data ja tekoäly|tekoäly, koneoppiminen, data-analytiikka, algoritmit
cloud_hosting|Pilvi ja webhotelli|webhotelli, palvelin, pilvi, verkkotunnus
accounting|Kirjanpito|kirjanpitäjä, kirjanpito, tilitoimisto, laskutus
audit_tax|Tilintarkastus ja verotus|tilintarkastaja, veroneuvonta, tilinpäätös, arvonlisävero
legal_services|Lakipalvelut|asianajaja, lakimies, oikeudellinen neuvonta, sopimus
hr_recruitment|HR ja rekrytointi|rekrytointi, henkilöstövuokraus, headhunter, työnvälitys
management_consulting|Liikkeenjohdon konsultointi|konsultti, liikkeenjohdon konsultointi, strategia, liiketoimintasuunnitelma
insurance_brokerage|Vakuutusmeklari|vakuutusmeklari, vakuutus, vakuutuskirja, korvaus
real_estate_agency|Kiinteistönvälitys|kiinteistönvälittäjä, välittäjä, asunto, talo
architecture|Arkkitehtuuri|arkkitehti, piirustukset, rakennuslupa, suunnittelu
manufacturing|Valmistus|valmistus, tehdas, teollisuus, kokoonpano
cnc_machining|CNC-koneistus|cnc, sorvaus, jyrsintä, koneistus
metalwork_welding|Metallityöt ja hitsaus|hitsaus, seppä, teräs, metallityö
restaurant|Ravintola|ravintola, ruoka, ruokapaikka, ruokalista
catering|Pitopalvelu|pitopalvelu, juhlaruoka, buffet, tarjoilu
hotel|Hotelli|hotelli, majoitus, hostelli, huoneet
event_management|Tapahtumajärjestäminen|tapahtumatoimisto, hääsuunnittelija, konferenssi, tapahtuma
agriculture|Maatalous|maatalous, maatila, traktori, sadonkorjuu
forestry|Metsätalous|metsätalous, puunkorjuu, puutavara, moottorisaha
waste_recycling|Jäte ja kierrätys|jäte, jätelava, romu, kierrätys
renewable_energy|Uusiutuva energia|aurinkopaneelit, tuulivoima, vihreä energia, lämpöpumppu
marketing_agency|Markkinointitoimisto|markkinointi, mainonta, kampanja, mainostoimisto
graphic_design|Graafinen suunnittelu|graafinen suunnittelija, logo, graafinen suunnittelu, taitto
photography|Valokuvaus|valokuvaaja, valokuvausstudio, häävalokuvaaja, muotokuvat
video_production|Videotuotanto|videotuotanto, kuvaus, editointi, drone
printing_signage|Painatus ja kyltit|painotalo, painatus, kyltit, teippaukset
wholesale|Tukkukauppa|tukkukauppa, tukkuliike, toimittaja, tavarat
ecommerce|Verkkokauppa|verkkokauppa, nettikauppa, marketplace, tilaukset
security_services|Turvallisuuspalvelut|vartija, vartiointi, valvonta, järjestyksenvalvonta
hairdressing|Kampaamo|kampaaja, hiustenleikkuu, hiusväri, parturi-kampaamo
beauty_salon|Kauneushoitola|kauneushoitola, kosmetologi, kynnet, kasvohoito
massage_therapy|Hieronta|hieroja, hieronta, hyvinvointi, rentoutus
fitness_training|Kuntovalmennus|personal trainer, kuntosali, treeni, voimaharjoittelu
shop_general|Kauppa|kauppa, myymälä, vähittäiskauppa, tavarat
shop_bicycle|Polkupyöräkauppa ja huolto|pyöräliike, polkupyörät, pyörähuolto, sähköpyörä
shop_auto_parts|Autonosat|varaosat, autonosat, autotarvikkeet, suodattimet
shop_hardware|Rautakauppa ja työkalut|rautakauppa, rakennustarvikkeet, työkalut, ruuvit
shop_furniture|Huonekalut|huonekaluliike, huonekalut, sohvat, keittiöt
shop_electronics|Elektroniikka ja kodinkoneet|elektroniikka, kodinkoneet, televisio, pesukone
shop_clothing|Vaatteet|vaatekauppa, muoti, kengät, vaatteet
shop_grocery|Ruokakauppa|ruokakauppa, päivittäistavarat, market, lähikauppa
shop_sports|Urheiluvälineet|urheiluliike, urheiluvälineet, retkeily, sukset
shop_books|Kirjakauppa ja paperitarvikkeet|kirjakauppa, toimistotarvikkeet, kirjat, paperitavarat
shop_florist|Kukkakauppa|kukkakauppa, kukat, kimput, seppeleet
shop_pet|Lemmikkitarvikkeet|eläinkauppa, koiranruoka, akvaario, kissanhiekka
motorcycle_repair|Moottoripyöräkorjaamo|moottoripyöräkorjaamo, moottoripyörä, skootteri, mopo
bar|Baari|baari, pubi, cocktailbaari, juomat
kebab_shawarma|Kebab ja shawarma|kebab, shawarma, gyros, kebab-ravintola
pizzeria|Pizzeria|pizza, pizzeria, pizzan nouto, italialainen
fast_food|Pikaruoka|pikaruoka, hampurilainen, ranskalaiset, grilli
bakery|Leipomo|leipomo, leipä, sämpylät, leipuri
pastry_shop|Konditoria|konditoria, kakut, leivokset, jälkiruoat
coffee_shop|Kahvila|kahvila, kahvi, espresso, barista
food_truck|Ruokarekka|ruoka-auto, katuruoka, foodtruck
butcher|Lihakauppa|lihakauppa, liha, makkarat, lihatiski
ice_cream|Jäätelöbaari|jäätelö, jäätelökioski, pehmis, gelato
winery|Viinitila|viinitila, viini, viinikellari, viininmaistelu
brewery|Panimo|panimo, olut, pienpanimo, hanaolut
