taxi|Tacsaí|cab, turas, aerfort, tiománaí
ride_hailing|Seirbhís turais tríd an aip|uber, bolt, comhthiomáint, aip
chauffeur|Seirbhísí tiománaí|tiománaí príobháideach, limisín, tiománaí pearsanta
driving_school|Scoil tiomána|ceachtanna tiomána, teagascóir, ceadúnas tiomána, tástáil tiomána
translation|Aistriúchán|aistritheoir, cáipéisí, conradh, teistiméireacht
interpreting|Ateangaireacht|ateangaire, comhuaineach, comhdháil, cruinniú
sworn_translation|Aistriúchán faoi mhionn|aistritheoir deimhnithe, aistriúchán oifigiúil, stampa, gníomhas
language_school|Scoil teangacha|cúrsaí teanga, ranganna béarla, múinteoir, teagasc teanga
removals|Seirbhísí aistrithe tí|aistriú tí, lucht aistrithe, veain, boscaí
international_removals|Aistrithe idirnáisiúnta|aistriú thar lear, athlonnú, coimeádán, custaim
courier|Seirbhís cúiréara|seachadadh, beartán, teachtaire, seirbhís seachadta
freight_forwarding|Seoladh lastais|lastas, lóistíocht, seoladh earraí, pailléad
refrigerated_transport|Iompar cuisnithe|iompar fuaraithe, reoite, veain fhuar, slabhra fuar
haulage|Tarlú earraí|tarlú, leoraí, iompar earraí, leantóir
storage_warehousing|Stóráil agus trádstóras|stóras, stóráil, trádstóras, seilfeanna
customs_brokerage|Bróicéireacht chustaim|custaim, allmhairiú, onnmhairiú, dearbhú
excavation|Tochailt agus obair chré|tochailt, tochaltóir, obair talún, díog
crane_hire|Craenacha ar cíos|craein, ardú, craein soghluaiste, ualach
scaffolding|Scafall|scafall, tógáil scafaill, ardán oibre, scafaill ar cíos
demolition|Leagan foirgneamh|leagan, scartáil, brablach, casúr aeir
concrete_works|Obair choincréite|coincréit, bunsraith, doirteadh coincréite, screed
surveying|Suirbhéireacht|suirbhéir, suirbhéireacht, teorainneacha, léarscáil
tool_hire|Uirlisí ar cíos|uirlisí ar cíos, uirlisí, druil, meaisín meilte
machinery_rental|Innealra ar cíos|innealra ar cíos, meaisíní, forc ardaitheoir, trealamh tógála
generator_hire|Gineadóirí ar cíos|gineadóir, cumhacht chúltaca, gineadóir ar cíos, cábla
electrical_installation|Suiteáil leictreach|leictreoir, sreangú, clár lasctha, soicéad
plumbing|Pluiméireacht|pluiméir, píopaí, seomra folctha, sceitheadh uisce
heating_hvac|Téamh agus aeráil|téamh, coire, radaitheoirí, téamh urláir
air_conditioning|Aerchóiriú|aerchóiriú, fuarú, aonad scoilte, gaoth fhuar
painting_decorating|Péintéireacht agus maisiú|péintéir, péinteáil, páipéar balla, líonadh
carpentry|Siúinéireacht|siúinéir, adhmadóireacht, troscán, adhmad
flooring|Urláracha|urláir, parquet, lannaithe, líomhadh urláir
roofing|Díonadóireacht|díonadóir, díon, gáitéir, sclátaí
locksmith|Glasadóir|glais, eochracha, oscailt dorais, doras slándála
cleaning_services|Seirbhísí glantacháin|glantóir, glanadh, glanadh oifige, glanadh mór
gardening_landscaping|Garraíodóireacht agus tírdhreachú|garraíodóir, faiche a bhearradh, fál, tírdhreachú
renovation|Athchóiriú|athchóiriú, tógálaí, conraitheoir, athnuachan
car_repair|Deisiú gluaisteán|garáiste, meicneoir, seirbhísiú, deisiú cairr
mobile_mechanic|Meicneoir soghluaiste|meicneoir soghluaiste, cabhair ar an mbóthar, tosú cairr, cliseadh
tyre_service|Seirbhís bonn|boinn, athrú boinn, poll i mbonn, cothromú
bodywork_paint|Obair chabhail agus péint|péinteáil cairr, cabhail, ding, deisiú tuairte
towing_recovery|Tarraingt agus tarrtháil|tarraingt, trucail tarraingthe, cabhair bhóthair, uinse
childcare|Cúram leanaí|naíolann, feighlí leanaí, réamhscoil, cúram leanaí
elderly_care|Cúram do dhaoine scothaosta|cúram seanóirí, teach altranais, cúram baile, daoine scothaosta
home_nursing|Altranas baile|altra baile, altranas sa bhaile, cúram leighis, cóiriú créachta
private_tutoring|Teagasc príobháideach|teagascóir, ranganna príobháideacha, ullmhú scrúduithe, obair bhaile
music_lessons|Ceachtanna ceoil|pianó, giotár, canadh, ceachtanna ceoil
sports_coaching|Traenáil spóirt|traenálaí, peil, leadóg, traenáil
it_training|Oiliúint TF|cúrsaí ríomhaireachta, excel, cúrsa ríomhchláraithe, oiliúint ríomhaireachta
vocational_training|Oiliúint ghairme|printíseacht, cúrsa ceirde, teastas, oiliúint cheirde
holiday_lettings|Ligean saoire|teach saoire, árasán ar cíos, cóiríocht saoire, airbnb
guesthouse_bnb|Teach aíochta agus leaba is bricfeasta|teach aíochta, lóistín agus bricfeasta, seomraí, teach ósta
property_management|Bainistíocht maoine|bainistíocht maoine, bainistíocht foirgnimh, ligean ar cíos, cothabháil
veterinary|Tréidlia|tréidlia, clinic ainmhithe, vacsaíniú, madra
dog_walking|Siúl madraí|siúl madraí, siúlóir madraí, siúlóid le madra
pet_grooming|Bearradh peataí|bearradh madraí, cóiriú peataí, cúram fionnaidh, salon peataí
general_practice|Dochtúir teaghlaigh|dochtúir teaghlaigh, lia, clinic, oideas
dentistry|Fiaclóireacht|fiaclóir, cúram fiacla, líonadh, ionchlannán
physiotherapy|Fisiteiripe|fisiteiripe, fisiteiripeoir, athshlánú, cóireáil
psychology|Síceolaíocht|síceolaí, teiripe, comhairleoireacht, síciteiripe
pharmacy|Cógaslann|cógaslann, cógais, poitigéir, forlíontaí
optometry|Optaiméadracht|radharceolaí, spéaclaí, tástáil radhairc, lionsaí tadhaill
medical_laboratory|Saotharlann leighis|saotharlann, tástálacha fola, anailís, samplaí
software_development|Forbairt bogearraí|ríomhchláraitheoir, forbróir, bogearraí, cód
web_development|Forbairt gréasáin|suíomh gréasáin, dearadh gréasáin, wordpress, siopa ar líne
it_support|Tacaíocht TF|tacaíocht ríomhaireachta, líonra, deisiú ríomhairí, riarthóir córais
cybersecurity|Cibearshlándáil|cibearshlándáil, tástáil slándála, balla dóiteáin, haiceáil
data_ai|Sonraí agus intleacht shaorga|intleacht shaorga, foghlaim meaisín, anailísíocht sonraí, algartaim
cloud_hosting|Néal agus óstáil|óstáil, freastalaí, néal, fearann
accounting|Cuntasaíocht|cuntasóir, cuntasaíocht, sonraisc, párolla
audit_tax|Iniúchadh agus cáin|iniúchóir, comhairleoir cánach, tuairisceán cánach, cbl
legal_services|Seirbhísí dlí|aturnae, dlíodóir, comhairle dlí, conradh
hr_recruitment|Acmhainní daonna agus earcaíocht|earcaíocht, gníomhaireacht fostaíochta, cuardach foirne, cv
management_consulting|Comhairleoireacht bhainistíochta|comhairleoir, comhairleoireacht ghnó, straitéis, plean gnó
insurance_brokerage|Bróicéireacht árachais|bróicéir árachais, árachas, polasaí, éileamh
real_estate_agency|Gníomhaireacht eastáit|gníomhaire eastáit, ceantálaí, árasán, teach
architecture|Ailtireacht|ailtire, líníochtaí, cead pleanála, dearadh foirgnimh
manufacturing|Déantúsaíocht|monaraíocht, monarcha, tionscal, cóimeáil
cnc_machining|Meaisíniú CNC|cnc, deileadh, muilleoireacht, obair mhiotail
metalwork_welding|Obair mhiotail agus táthú|táthú, gabha, cruach, obair mhiotail
restaurant|Bialann|bialann, bia, béile, biachlár
catering|Lónadóireacht|lónadóireacht, bia imeachta, buffet, plátaí
hotel|Óstán|óstán, lóistín, brú, seomraí
event_management|Bainistiú imeachtaí|eagrú imeachtaí, pleanálaí bainise, comhdháil, imeacht
agriculture|Talmhaíocht|feirmeoireacht, feirm, tarracóir, fómhar
forestry|Foraoiseacht|foraoiseacht, leagan crann, adhmad, sábh slabhrach
waste_recycling|Dramhaíl agus athchúrsáil|dramhaíl, scipeanna, dramh-mhiotal, athchúrsáil
renewable_energy|Fuinneamh in-athnuaite|painéil ghréine, fuinneamh gaoithe, fuinneamh glas, teaschaidéal
marketing_agency|Gníomhaireacht mhargaíochta|margaíocht, fógraíocht, feachtas, gníomhaireacht fógraíochta
graphic_design|Dearadh grafach|dearthóir grafach, lógó, dearadh grafach, leagan amach
photography|Grianghrafadóireacht|grianghrafadóir, stiúideo, grianghraif bainise, portráidí
video_production|Léiriú físe|léiriúchán físe, scannánaíocht, eagarthóireacht, drón
printing_signage|Priontáil agus comharthaíocht|clódóir, priontáil, comharthaí, greamáin
wholesale|Mórdhíol|mórdhíol, dáileoir, soláthraí, earraí
ecommerce|Siopa ar líne|siopa ar líne, ríomhthráchtáil, margadh ar líne, orduithe
security_services|Seirbhísí slándála|garda slándála, faireachas, patról, ceamaraí slándála
hairdressing|Gruagaireacht|gruagaire, bearradh gruaige, dath gruaige, salon
beauty_salon|Salón áilleachta|salon áilleachta, cosmeoltóir, ingne, cóireáil aghaidhe
massage_therapy|Suathaireacht|suathaireacht, suathaire, folláine, scíth
fitness_training|Traenáil aclaíochta|traenálaí pearsanta, giomnáisiam, aclaíocht, meáchain
shop_general|Siopa|siopa, miondíol, stór, earraí
shop_bicycle|Siopa agus deisiú rothar|siopa rothar, rothair, deisiú rothar, rothar leictreach
shop_auto_parts|Páirteanna gluaisteán|páirteanna cairr, breischodanna, gabhálais, scagairí
shop_hardware|Siopa crua-earraí agus uirlisí|siopa crua-earraí, ábhair tógála, uirlisí, scriúnna
shop_furniture|Troscán|siopa troscáin, troscán, tolg, cistin
shop_electronics|Leictreonaic agus fearais|leictreonaic, fearais tí, teilifís, meaisín níocháin
shop_clothing|Éadaí|siopa éadaí, faisean, bróga, éadaí
shop_grocery|Siopa grósaera|siopa grósaeireachta, ollmhargadh, bia, siopa áitiúil
shop_sports|Trealamh spóirt|siopa spóirt, trealamh spóirt, lasmuigh, sciáil
shop_books|Siopa leabhar agus stáiseanóireachta|siopa leabhar, páipéarachas, leabhair, soláthairtí oifige
shop_florist|Bláthadóir|siopa bláthanna, bláthanna, crobhaingí, fleasca
