taxi|Taksi|taksi, vožnja, prevoz, letališče
ride_hailing|Prevoz prek aplikacije|uber, bolt, deljenje vožnje, aplikacija
chauffeur|Storitve voznika|osebni voznik, limuzina, šofer
driving_school|Avtošola|avtošola, ure vožnje, vozniško dovoljenje, inštruktor
translation|Prevajanje|prevajalec, dokumenti, prevod, pogodba
interpreting|Tolmačenje|tolmač, simultano tolmačenje, konferenca, sestanek
sworn_translation|Sodni prevodi|sodni tolmač, overjen prevod, žig, listina
language_school|Jezikovna šola|jezikovni tečaji, angleščina, učitelj, jezikovna šola
removals|Selitve|selitev, selitvene storitve, kombi, škatle
international_removals|Mednarodne selitve|selitev v tujino, preselitev, kontejner, carina
courier|Kurirske storitve|kurir, dostava, pošiljka, kurirska služba
freight_forwarding|Špedicija|špedicija, logistika, prevoz blaga, paleta
refrigerated_transport|Hlajeni prevoz|hladilni prevoz, zamrznjeno blago, hladilnik, hladna veriga
haulage|Tovorni promet|tovorni prevoz, tovornjak, prevoz blaga, prikolica
storage_warehousing|Skladiščenje|skladišče, skladiščenje, hramba, police
customs_brokerage|Carinsko posredovanje|carinsko posredovanje, carina, uvoz, izvoz
excavation|Izkopi in zemeljska dela|zemeljska dela, bager, izkop, jarek
crane_hire|Najem dvigal|žerjav, najem žerjava, dvigovanje, avtodvigalo
scaffolding|Odri|oder, gradbeni oder, postavitev odra, delovna ploščad
demolition|Rušenje|rušenje, odstranjevanje, gradbeni odpadki, razbijanje betona
concrete_works|Betonska dela|beton, betoniranje, temelji, estrih
surveying|Geodezija|geodet, izmera, katastrska izmera, meje parcele
tool_hire|Izposoja orodja|najem orodja, orodje, vrtalnik, brusilnik
machinery_rental|Najem strojev|najem strojev, stroji, viličar, gradbena mehanizacija
generator_hire|Najem agregatov|agregat, generator, rezervno napajanje, kabel
electrical_installation|Elektroinštalacije|električar, elektroinštalacije, elektro omarica, vtičnica
plumbing|Vodovodne inštalacije|vodovodar, cevi, kopalnica, puščanje vode
heating_hvac|Ogrevanje in prezračevanje|ogrevanje, kotel, radiatorji, talno gretje
air_conditioning|Klimatizacija|klimatska naprava, hlajenje, klimatizacija, split sistem
painting_decorating|Slikopleskarstvo|slikopleskar, pleskanje, tapete, glajenje
carpentry|Mizarstvo|mizar, tesar, pohištvo, les
flooring|Polaganje talnih oblog|polagalec talnih oblog, parket, laminat, brušenje parketa
roofing|Krovstvo|krovec, streha, žlebovi, kleparstvo
locksmith|Ključavničarstvo|ključavničar, ključavnice, ključi, odpiranje vrat
cleaning_services|Čistilne storitve|čiščenje, čistilka, čiščenje pisarn, generalno čiščenje
gardening_landscaping|Vrtnarstvo in urejanje okolice|vrtnar, košnja trave, živa meja, urejanje okolice
renovation|Prenove|prenova, adaptacija, gradbeno podjetje, preureditev
car_repair|Avtoservis|avtoservis, avtomehanik, servis, popravilo avta
mobile_mechanic|Mobilni mehanik|mobilni mehanik, pomoč na cesti, zagon, okvara
