taxi|Takso|takso, sõit, transfeer, lennujaam
ride_hailing|Sõidujagamine rakendusega|uber, bolt, sõidujagamine, rakendus
chauffeur|Autojuhi teenus|isiklik autojuht, limusiin, juht
driving_school|Autokool|autokool, sõidutunnid, juhiluba, sõiduõpetaja
translation|Tõlkimine|tõlkija, dokumendid, tõlge, leping
interpreting|Suuline tõlge|tõlk, sünkroontõlge, konverents, kohtumine
sworn_translation|Vandetõlge|vandetõlk, kinnitatud tõlge, pitsat, dokument
language_school|Keeltekool|keelekursused, inglise keel, õpetaja, keeltekool
removals|Kolimisteenus|kolimine, kolimisteenus, kaubik, kastid
international_removals|Rahvusvaheline kolimine|väliskolimine, ümberasumine, konteiner, toll
courier|Kullerteenus|kuller, kohaletoimetamine, pakk, kullerteenus
freight_forwarding|Ekspedeerimine|ekspedeerimine, logistika, vedu, alus
refrigerated_transport|Külmveod|külmvedu, külmutatud, külmik-auto, külmahel
haulage|Kaubavedu|veofirma, veok, kaubavedu, haagis
storage_warehousing|Ladustamine|ladu, ladustamine, hoiustamine, riiulid
customs_brokerage|Tollivahendus|tollivormistus, toll, import, eksport
excavation|Kaeve- ja pinnasetööd|kaevetööd, ekskavaator, pinnasetööd, kraav
crane_hire|Kraanade rent|kraana, kraanarent, tõstetööd, autokraana
scaffolding|Tellingud|tellingud, tellingute paigaldus, tellingurent, tööplatvorm
demolition|Lammutustööd|lammutus, lammutustööd, ehitusprügi, purustamine
concrete_works|Betoonitööd|betoon, betoneerimine, vundament, tasandus
surveying|Geodeesia|geodeet, mõõdistamine, maamõõtja, katastriüksus
tool_hire|Tööriistade rent|tööriistarent, tööriistad, trell, lihvija
machinery_rental|Masinate rent|masinarent, masinad, tõstuk, ehitustehnika
generator_hire|Generaatorite rent|generaator, elektrigeneraator, varutoide, kaabel
electrical_installation|Elektritööd|elektrik, elektritööd, kilp, pistikupesa
plumbing|Torutööd|torulukksepp, santehnik, torud, vannituba
heating_hvac|Küte ja ventilatsioon|küte, katel, radiaatorid, põrandaküte
air_conditioning|Konditsioneerid|konditsioneer, jahutus, õhksoojuspump, split
painting_decorating|Maalritööd|maaler, värvimine, tapeetimine, pahteldamine
carpentry|Puusepatööd|puusepp, tisler, mööbel, puit
flooring|Põrandatööd|põrandapaigaldaja, parkett, laminaat, põranda lihvimine
roofing|Katusetööd|katusemeister, katus, vihmaveerennid, katusekate
locksmith|Lukksepp|lukksepp, lukud, võtmed, ukse avamine
cleaning_services|Koristusteenused|koristus, koristusteenus, kontoripuhastus, suurpuhastus
gardening_landscaping|Aiandus ja haljastus|aednik, muruniitmine, hekk, haljastus
renovation|Renoveerimine|remont, renoveerimine, ehitusfirma, ümberehitus
car_repair|Autoremont|autoremont, mehaanik, hooldus, autotöökoda
mobile_mechanic|Mobiilne autoremont|mobiilne mehaanik, teeabi, käivitusabi, rike
tyre_service|Rehvitööd|rehvid, rehvivahetus, rehviparandus, tasakaalustamine
bodywork_paint|Plekitööd ja värvimine|autovärvimine, plekitööd, mõlgid, kere
towing_recovery|Puksiirteenus|puksiir, pukseerimine, autoabi, vints
childcare|Lastehoid|lapsehoid, lasteaed, lapsehoidja, sõim
elderly_care|Eakate hooldus|eakate hooldus, hooldekodu, koduhooldus, eakad
home_nursing|Koduõendus|koduõendus, õde, kodune hooldus, haavahooldus
