taxi|Taxi|Taxi, carrera, aeropuerto, traslado
ride_hailing|VTC|Uber, Bolt, Cabify, aplicación
chauffeur|Servicio de chófer|Chófer privado, limusina, conductor
driving_school|Autoescuela|Clases de conducir, instructor, carné
translation|Traducción|Traductor, documentos, actas, contrato
interpreting|Interpretación|Intérprete, simultánea, congreso, juzgado
sworn_translation|Traducción jurada|Jurada, certificada, acta, título
language_school|Academia de idiomas|Cursos de idiomas, clases, profesor
removals|Mudanzas|Empresa de mudanzas, muebles, cajas, furgoneta
international_removals|Mudanzas internacionales|Extranjero, ultramar, contenedor, aduana
courier|Mensajería|Paquete, sobre, urgente, reparto
freight_forwarding|Transitario|Logística, carga, palé, mercancía
refrigerated_transport|Transporte frigorífico|Cadena de frío, congelado, perecedero
haulage|Transporte de mercancías|Camión, tráiler, remolque, carretera
storage_warehousing|Almacenaje|Almacén, nave, palé, guardamuebles
customs_brokerage|Agencia de aduanas|Aduana, importación, exportación, despacho
excavation|Excavación y movimiento de tierras|Excavadora, zanja, desmonte, tierra
crane_hire|Alquiler de grúas|Grúa, elevación, autogrúa
scaffolding|Andamios|Andamiaje, plataforma, fachada
demolition|Demoliciones|Derribo, desmontaje, escombros
concrete_works|Trabajos de hormigón|Hormigón, solera, cimentación, encofrado
surveying|Topografía|Topógrafo, catastro, levantamiento, plano
tool_hire|Alquiler de herramientas|Herramientas, taladro, radial, maquinaria menor
machinery_rental|Alquiler de maquinaria|Maquinaria, carretilla elevadora, obra
generator_hire|Alquiler de generadores|Generador, grupo electrógeno, corriente
electrical_installation|Instalaciones eléctricas|Electricista, cable, enchufe, cuadro, fusible
plumbing|Fontanería|Fontanero, tubería, grifo, calentador, fuga, baño
heating_hvac|Calefacción|Calderas, radiadores, suelo radiante, climatización
air_conditioning|Aire acondicionado|Clima, refrigeración, split, ventilación
painting_decorating|Pintura y decoración|Pintor, pintura, papel pintado, alisado
carpentry|Carpintería|Carpintero, madera, muebles, puerta, armario
flooring|Pavimentos y suelos|Parqué, laminado, baldosas, moqueta
roofing|Cubiertas y tejados|Tejado, teja, canalón, impermeabilización
locksmith|Cerrajería|Cerrajero, cerradura, llaves, apertura de puertas
cleaning_services|Limpieza|Empresa de limpieza, limpiadora, oficinas
gardening_landscaping|Jardinería y paisajismo|Jardinero, césped, seto, árboles, poda
renovation|Reformas|Constructor, obra, rehabilitación, albañilería
car_repair|Taller mecánico|Taller, mecánico, revisión, motor, frenos, ITV
mobile_mechanic|Mecánico a domicilio|Asistencia, in situ, batería, avería
tyre_service|Neumáticos|Ruedas, llantas, pinchazo, equilibrado
bodywork_paint|Chapa y pintura|Chapista, abolladura, siniestro, carrocería
towing_recovery|Grúa y asistencia|Remolque, grúa, cabrestante
childcare|Cuidado de niños|Guardería, niñera, canguro, escuela infantil
elderly_care|Cuidado de mayores|Cuidadora, acompañamiento, residencia
home_nursing|Enfermería a domicilio|Enfermera, cuidados, paliativos
private_tutoring|Clases particulares|Refuerzo, deberes, exámenes, profesor particular
music_lessons|Clases de música|Piano, guitarra, violín, canto, profesor
sports_coaching|Entrenamiento deportivo|Entrenador, fútbol, tenis, preparación
it_training|Formación informática|Cursos de informática, Excel, ofimática, programación
vocational_training|Formación profesional|Aprendizaje, certificado, reciclaje
holiday_lettings|Alquiler vacacional|Apartamento, casa rural, Airbnb, corta estancia
guesthouse_bnb|Casa de huéspedes|Pensión, hostal, habitación, desayuno
property_management|Administración de fincas|Administrador, comunidad, alquiler, inmueble
veterinary|Veterinaria|Veterinario, clínica veterinaria, vacuna, perro, gato
dog_walking|Paseo de perros|Paseador, correa, salidas
pet_grooming|Peluquería canina|Peluquería de mascotas, corte, pelo
general_practice|Medicina general|Médico, médico de familia, consulta, receta
