taxi|Taxi|taxibil, resa, transfer, flygplats
ride_hailing|Samåkning via app|uber, bolt, samåkning, app
chauffeur|Chaufförstjänster|privatchaufför, limousine, chaufför
driving_school|Trafikskola|trafikskola, körlektioner, körkort, körlärare
translation|Översättning|översättare, dokument, översättning, avtal
interpreting|Tolkning|tolk, simultantolkning, konferens, möte
sworn_translation|Auktoriserad översättning|auktoriserad översättare, bestyrkt översättning, stämpel, handling
language_school|Språkskola|språkkurser, engelskundervisning, lärare, språkskola
removals|Flyttjänster|flytt, flyttfirma, flyttbil, kartonger
international_removals|Internationella flyttar|utlandsflytt, relokalisering, container, tull
courier|Budtjänster|bud, leverans, paket, budfirma
freight_forwarding|Speditionsfirma|speditör, logistik, frakt, pall
refrigerated_transport|Kyltransport|kyltransport, fryst, kylbil, kylkedja
haulage|Godstransport|åkeri, lastbil, godstransport, trailer
storage_warehousing|Lagring och magasinering|lager, förvaring, magasinering, hyllor
customs_brokerage|Tullombud|tullklarering, tull, import, export
excavation|Schakt och markarbeten|markarbeten, grävmaskin, schaktning, grävning
crane_hire|Kranuthyrning|kran, kranuthyrning, lyft, mobilkran
scaffolding|Ställningar|ställning, byggnadsställning, ställningsbyggare, plattform
demolition|Rivning|rivning, rivningsarbete, bygglov rivning, rivningsmassor
concrete_works|Betongarbeten|betong, gjutning, grund, avjämning
surveying|Lantmäteri|lantmätare, mätning, inmätning, fastighetsgränser
tool_hire|Verktygsuthyrning|verktygsuthyrning, verktyg, borrmaskin, vinkelslip
machinery_rental|Maskinuthyrning|maskinuthyrning, maskiner, truck, entreprenadmaskiner
generator_hire|Uthyrning av elverk|elverk, generator, reservkraft, aggregat
electrical_installation|Elinstallation|elektriker, elinstallation, elcentral, eluttag
plumbing|Rörmokeri|rörmokare, vvs, rör, badrum
heating_hvac|Värme och ventilation|värmepump, panna, radiatorer, golvvärme
air_conditioning|Luftkonditionering|luftkonditionering, kyla, ac, luftkylning
painting_decorating|Måleri|målare, målning, tapetsering, spackling
carpentry|Snickeri|snickare, träarbete, möbler, trä
flooring|Golvläggning|golvläggare, parkett, laminat, golvslipning
