taxi|Taksi|taksi, vožnja, prijevoz, aerodrom
ride_hailing|Prijevoz preko aplikacije|uber, bolt, dijeljenje vožnje, aplikacija
chauffeur|Usluge vozača|osobni vozač, limuzina, vozač
driving_school|Autoškola|autoškola, satovi vožnje, vozačka dozvola, instruktor
translation|Prevođenje|prevoditelj, dokumenti, prijevod, ugovor
interpreting|Usmeno prevođenje|usmeni prevoditelj, simultano prevođenje, konferencija, sastanak
sworn_translation|Sudski prijevodi|sudski tumač, ovjereni prijevod, pečat, isprava
language_school|Škola stranih jezika|tečajevi jezika, engleski jezik, predavač, škola stranih jezika
removals|Selidbe|selidba, selidbe, kombi, kutije
international_removals|Međunarodne selidbe|selidba u inozemstvo, preseljenje, kontejner, carina
courier|Kurirske usluge|kurir, dostava, pošiljka, dostavna služba
freight_forwarding|Špedicija|špedicija, logistika, prijevoz robe, paleta
refrigerated_transport|Hladnjačarski prijevoz|hladnjača, smrznuta roba, rashladni prijevoz, hladni lanac
haulage|Teretni prijevoz|kamionski prijevoz, kamion, teretni prijevoz, prikolica
storage_warehousing|Skladištenje|skladište, skladištenje, čuvanje robe, police
customs_brokerage|Carinsko posredovanje|carinsko posredovanje, carina, uvoz, izvoz
excavation|Iskopi i zemljani radovi|zemljani radovi, bager, iskop, rov
crane_hire|Najam dizalica|dizalica, najam dizalice, dizanje tereta, auto dizalica
scaffolding|Skele|skela, postavljanje skele, najam skele, radna platforma
demolition|Rušenje|rušenje, demontaža, građevinski otpad, razbijanje betona
concrete_works|Betonski radovi|beton, betoniranje, temelji, estrih
surveying|Geodezija|geodet, izmjera, katastarska izmjera, međe
tool_hire|Najam alata|najam alata, alat, bušilica, brusilica
machinery_rental|Najam strojeva|najam strojeva, strojevi, viličar, građevinska mehanizacija
generator_hire|Najam agregata|agregat, generator, rezervno napajanje, kabel
electrical_installation|Elektroinstalacije|električar, elektroinstalacije, razvodni ormar, utičnica
plumbing|Vodoinstalacije|vodoinstalater, cijevi, kupaonica, curenje
heating_hvac|Grijanje i ventilacija|grijanje, kotao, radijatori, podno grijanje
air_conditioning|Klimatizacija|klima uređaj, hlađenje, klimatizacija, split sustav
painting_decorating|Soboslikarstvo|soboslikar, ličenje, tapete, gletanje
carpentry|Stolarstvo|stolar, tesar, namještaj, drvo
flooring|Podopolagačstvo|podopolagač, parket, laminat, brušenje parketa
roofing|Krovopokrivačstvo|krovopokrivač, krov, oluci, limarija
locksmith|Bravarija|bravar, brave, ključevi, otvaranje vrata
cleaning_services|Usluge čišćenja|čišćenje, spremačica, čišćenje ureda, generalno čišćenje
gardening_landscaping|Vrtlarstvo i uređenje okoliša|vrtlar, košnja trave, živica, uređenje okoliša
renovation|Adaptacije|renovacija, adaptacija, građevinska firma, preuređenje
car_repair|Autoservis|autoservis, automehaničar, servis, popravak auta
mobile_mechanic|Mobilni mehaničar|mobilni mehaničar, pomoć na cesti, pokretanje, kvar
tyre_service|Vulkanizer|gume, vulkanizer, zamjena guma, balansiranje
bodywork_paint|Limarija i lakiranje|autolakirer, limarija, udubljenja, karoserija
towing_recovery|Vučna služba|šlep služba, vuča vozila, pomoć na cesti, vitlo
childcare|Čuvanje djece|čuvanje djece, vrtić, dadilja, jaslice
elderly_care|Njega starijih|njega starijih, dom za starije, kućna njega, umirovljenici
home_nursing|Kućna njega|kućna njega, medicinska sestra, njega u kući, previjanje
private_tutoring|Instrukcije|instrukcije, privatni sat, priprema za ispite, zadaća
music_lessons|Sati glazbe|klavir, gitara, pjevanje, satovi glazbe
sports_coaching|Sportski trening|trener, nogomet, tenis, treninzi
it_training|IT edukacija|informatički tečajevi, excel, tečaj programiranja, it edukacija
vocational_training|Stručne obuke|strukovno obrazovanje, tečaj za zanimanje, certifikacija, naukovanje
holiday_lettings|Apartmani za odmor|apartman, kuća za odmor, najam, airbnb
guesthouse_bnb|Pansion i noćenje s doručkom|pansion, noćenje s doručkom, prenoćište, sobe
property_management|Upravljanje nekretninama|upravljanje nekretninama, upravitelj zgrade, najam, suvlasnici
veterinary|Veterinar|veterinar, veterinarska ambulanta, cijepljenje, pas
dog_walking|Šetanje pasa|šetanje pasa, šetač pasa, šetnja
pet_grooming|Njega kućnih ljubimaca|frizer za pse, šišanje pasa, njega dlake, salon za ljubimce
general_practice|Obiteljska medicina|obiteljski liječnik, doktor, ambulanta, recept
dentistry|Stomatologija|zubar, stomatolog, plomba, implantat
physiotherapy|Fizioterapija|fizioterapija, fizioterapeut, rehabilitacija, terapija
psychology|Psihologija|psiholog, terapija, savjetovanje, psihoterapija
pharmacy|Ljekarna|ljekarna, lijekovi, recept, dodaci prehrani
optometry|Optometrija|optičar, naočale, pregled vida, kontaktne leće
medical_laboratory|Medicinski laboratorij|laboratorij, vađenje krvi, pretrage, nalazi
software_development|Razvoj softvera|programer, developer, softver, kod
web_development|Izrada web stranica|web stranice, izrada web stranica, wordpress, webshop
it_support|IT podrška|it podrška, mreža, servis računala, sistem administrator
cybersecurity|Kibernetička sigurnost|kibernetička sigurnost, sigurnosno testiranje, vatrozid, hakiranje
data_ai|Podaci i umjetna inteligencija|umjetna inteligencija, strojno učenje, analitika podataka, algoritmi
cloud_hosting|Cloud i hosting|hosting, server, oblak, domena
accounting|Računovodstvo|knjigovođa, knjigovodstvo, računi, plaće
audit_tax|Revizija i porezi|revizor, porezni savjetnik, godišnji obračun, pdv
legal_services|Pravne usluge|odvjetnik, pravnik, pravne usluge, ugovor
hr_recruitment|Ljudski resursi i zapošljavanje|zapošljavanje, agencija za zapošljavanje, headhunter, životopis
management_consulting|Poslovno savjetovanje|konzultant, poslovno savjetovanje, strategija, poslovni plan
insurance_brokerage|Posredovanje u osiguranju|osiguravajući posrednik, osiguranje, polica, šteta
real_estate_agency|Agencija za nekretnine|agencija za nekretnine, agent za nekretnine, stan, kuća
architecture|Arhitektura|arhitekt, nacrti, građevinska dozvola, projektiranje
manufacturing|Proizvodnja|proizvodnja, tvornica, industrija, montaža
cnc_machining|CNC obrada|cnc, tokarenje, glodanje, obrada metala
metalwork_welding|Bravarija i zavarivanje|varilac, kovač, čelik, bravarski radovi
restaurant|Restoran|restoran, hrana, gostionica, jelovnik
catering|Catering|catering, svečana hrana, buffet, posluženje
hotel|Hotel|hotel, smještaj, hostel, sobe
event_management|Organizacija događaja|organizacija događanja, planer vjenčanja, konferencija, event
agriculture|Poljoprivreda|poljoprivreda, farma, traktor, žetva
forestry|Šumarstvo|šumarstvo, sječa, drvo, motorna pila
waste_recycling|Otpad i reciklaža|otpad, kontejner, staro željezo, reciklaža
renewable_energy|Obnovljiva energija|solarni paneli, energija vjetra, zelena energija, dizalica topline
marketing_agency|Marketinška agencija|marketing, oglašavanje, kampanja, marketinška agencija
graphic_design|Grafički dizajn|grafički dizajner, logo, grafički dizajn, priprema za tisak
photography|Fotografija|fotograf, fotografski studio, vjenčani fotograf, portreti
video_production|Video produkcija|videoprodukcija, snimanje, montaža, dron
printing_signage|Tisak i reklame|tiskara, tisak, reklamni natpisi, naljepnice
wholesale|Veleprodaja|veleprodaja, distributer, dobavljač, roba
ecommerce|Web trgovina|webshop, internet trgovina, marketplace, narudžbe
security_services|Zaštitarske usluge|zaštitar, zaštitarska tvrtka, nadzor, video nadzor
hairdressing|Frizerski salon|frizer, šišanje, bojanje kose, salon
beauty_salon|Kozmetički salon|kozmetički salon, kozmetičarka, nokti, tretman lica
massage_therapy|Masaža|maser, masaža, wellness, opuštanje
fitness_training|Fitness trening|osobni trener, teretana, trening, snaga
shop_general|Trgovina|trgovina, dućan, maloprodaja, roba
